"id","esco","esco.ec","esco.mc","esco.soc","cred1","cred2","cred3","cred4","prop.aprob.exam","gen","horas","sexto","edad","Xfem","Xhijos","Xocup","XeduP","XeduM","carr11","carr14","EDAoMCEDA","busca.trabajo","sexto.mvd","sexto.priv"
567,8.28571428571429,9,9.5,6.5,70,0,0,0,0,2012,"No corresponde","Interior Publica",18,0,0,0,"Medio","Alto",0,1,0,0,0,0
569,3.33333333333333,4,2,0,10,20,0,0,0,2012,"No corresponde","Interior Publica",18,0,0,0,"Bajo","Bajo",1,0,0,0,0,0
570,2.4,5,1.25,2,70,0,0,0,0.571428571428571,2012,"No corresponde","Interior Publica",18,1,0,0,"Alto","Bajo",0,0,0,0,0,0
573,8.84375,9.21428571428571,6.71428571428571,9.57142857142857,100,70,100,40,0.0967741935483871,2012,"No corresponde","Interior Publica",17,1,0,0,"Medio","Medio",1,0,0,0,0,0
574,4,3.2,3,4,40,10,30,0,0.625,2012,"Entre 30 y 40 horas","Interior Publica",20,1,0,1,"Alto","Bajo",1,1,1,0,0,0
577,6.2962962962963,7.33333333333333,3.25,7.71428571428571,80,70,40,40,0.166666666666667,2013,"No corresponde","Interior Publica",18,1,0,0,"Medio","Medio",0,0,0,0,0,0
579,6.40909090909091,7,5.85714285714286,5,30,50,70,30,0.0555555555555556,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Medio","Alto",0,0,0,0,1,1
581,4.64285714285714,5.2,4,6.75,40,0,30,30,0.2,2012,"No corresponde","Interior Publica",19,0,0,0,"Medio","Medio",1,0,0,0,0,0
584,5.91666666666667,6.64705882352941,3.6,6,90,60,90,80,0.1,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Medio","Medio",0,0,0,0,1,1
586,3.22222222222222,6,0,3.66666666666667,20,10,20,0,0.2,2012,"No corresponde","Montevideo Publica",18,1,0,0,"Medio","Alto",1,0,0,0,1,0
587,NA,NA,NA,NA,0,0,0,0,NA,2012,"Entre 20 y 30 horas","Montevideo Privada",20,0,0,1,"Medio","Bajo",0,0,0,0,1,1
588,NA,NA,NA,NA,0,0,0,0,NA,2012,"Entre 20 y 30 horas","Interior Publica",20,1,0,1,"Bajo","Bajo",0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,NA,2012,"No corresponde","Interior Publica",18,1,0,0,"Bajo","Medio",0,0,0,0,0,0
591,7.12903225806452,7.91666666666667,4.125,8.5,80,90,80,50,0.137931034482759,2013,"No corresponde","Montevideo Privada",18,1,0,0,"Medio","Alto",0,0,0,0,1,1
599,5.58064516129032,5.5,4,7.4,90,60,60,50,0.28,2012,"No corresponde","Interior Publica",18,1,0,0,"Medio","Medio",0,1,0,0,0,0
603,5.64516129032258,5.71428571428571,3.25,8.75,80,70,70,40,0.16,2012,"No corresponde","Montevideo Privada",18,1,0,0,"Bajo","Medio",0,1,0,0,1,1
604,3.48148148148148,2.875,4,3,30,20,30,10,0.304347826086957,2013,"No corresponde","Montevideo Privada",18,0,0,0,"Medio","Medio",1,0,0,1,1,1
