"articulos"	"rubro"	"subrubro"	"subsubrubro"	"familia"
"Espumadera, cucharón, colador, batidor, pisapapa, espátula"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"
"Mamadera, utensillos para comer el bebé"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"
"Recipientes para conservar alimentos"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"
"Mate,termo,bombilla"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"
"Bols, baldes, palanganas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"
"Exprimidor, rallador, abrelatas, destapador, pelapapas (no eléctricos)"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"
"Otros artículos y utensillos para el  hogar (no eléctricos)"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"	"Cristalería, vajilla y utensillos domésticos"
"Taladro,sierra, lijadora, pulidora y cortadora eléctricas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas y equipos grandes"	"Herramientas y equipos grandes"
"Cortadora de césped, bordeadora (eléctricas o no)"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas y equipos grandes"	"Herramientas y equipos grandes"
"Reparación de herramientas y equipos motorizados"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas y equipos grandes"	"Herramientas y equipos grandes"
"Otras herramientas y equipos grandes para el hogar"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas y equipos grandes"	"Herramientas y equipos grandes"
"Herramientas y útiles de jardín"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Manguera, regadera , picos para regar"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Herramientas de mano: martillo, destornilladores, pinzas, tenaza, llave inglesa, llave francesa"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Cepilladoras ,escofinas, limas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Escaleras"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Llaves,cerraduras,bisagras,manijas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Artículos de metal para el hogar: rieles de cortinas, varillas, ganchos, argollas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Otras herramientas pequeñas para el hogar"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Enchufes, portalámparas, cables, tomacorrientes e interruptores"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Tubos fluorecentes, lámparas eléctricas, halógenas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Pilas y baterías para uso general"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Linternas,balizas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Timbres y alarmas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Otros artículos eléctricos y sus accesorios"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Herramientas y equipos para el hogar"	"Herramientas pequeñas y accesorios diversos"	"Herramientas pequeñas y accesorios diversos"
"Jabones de limpieza en polvo y en barra, suavizante de ropa"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Productos de limpieza y conservación del hogar"
"Blanqueador líquido (incluye hipoclorito de sodio)"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Productos de limpieza y conservación del hogar"
"Jabón líquido (detergente)"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Productos de limpieza y conservación del hogar"
"Desengrasadores, desinfectantes, desodorante ambiente, limpiavidrios"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Productos de limpieza y conservación del hogar"
"Insecticidas, líquidos o en pastillas y aparatos"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Productos de limpieza y conservación del hogar"
"Cera líquida o en pasta"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Productos de limpieza y conservación del hogar"
"Lustre para zapatos y muebles"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Productos de limpieza y conservación del hogar"
"Abrasivos para limpieza (pasta para pulir y limpiar metales)"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Productos de limpieza y conservación del hogar"
"Escobas, cepillos de limpieza, lampazo"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Utensilios de limpieza y conservación del hogar"
"Paños de limpieza, franelas, esponjas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Utensilios de limpieza y conservación del hogar"
"Fósforos, caja"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Utensilios para el hogar no duraderos"
"Productos de papel en paquete: filtros para café, manteles,servilletas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Artículos para el hogar no duraderos"
"Vajilla de cartón,rollo de papel de aluminio, bolsas para freezer"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Artículos para el hogar no duraderos"
"Clavos, tornillos, alambres, cajas"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Artículos para el hogar no duraderos"
"Otros artículos no duraderos del hogar"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Artículos para el hogar no duraderos"	"Artículos para el hogar no duraderos"
"Doméstica con cama, servicio de"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Doméstica sin cama, servicio de"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Jardinero"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Cuidado de los niños"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Cuidado de adultos"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Cocinero"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Aportes al BPS del Servicio doméstico y otros para el hogar"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Boletos para transporte del Servicio Doméstico y otros para el hogar"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Servicio doméstico, otros"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Servicio de fumigación y desinfección"	"MUEBLES, ARTICULOS PARA EL HOGAR Y SU CONSERVACION"	"Bienes y servicios para la conservación ordinaria del hogar"	"Servicios domésticos y para el hogar"	"Servicios domésticos y para el hogar"
"Medicamentos y vitaminas"	"SALUD"	"Productos, artefactos y equipos médicos"	"Productos farmacéuticos"	"Medicamentos y vitaminas"
"Anticonceptivos orales, parches"	"SALUD"	"Productos, artefactos y equipos médicos"	"Productos farmacéuticos"	"Anticonceptivos"
"Anticonceptivos mecánicos (DIU)"	"SALUD"	"Productos, artefactos y equipos médicos"	"Productos farmacéuticos"	"Anticonceptivos"
"Preservativos"	"SALUD"	"Productos, artefactos y equipos médicos"	"Productos farmacéuticos"	"Anticonceptivos"
"Otros productos farmacéuticos"	"SALUD"	"Productos, artefactos y equipos médicos"	"Productos farmacéuticos"	"Otros productos farmacéuticos"
"Anteojos y lentes de contacto (incluye cambio de cristales)"	"SALUD"	"Productos, artefactos y equipos médicos"	"Artefactos y equipos terapéuticos"	"Artefactos y equipos terapéuticos"
"Aparatos terapéuticos: para medir presión, glicemia, otros"	"SALUD"	"Productos, artefactos y equipos médicos"	"Artefactos y equipos terapéuticos"	"Artefactos y equipos terapéuticos"
"Audífonos"	"SALUD"	"Productos, artefactos y equipos médicos"	"Artefactos y equipos terapéuticos"	"Artefactos y equipos terapéuticos"
"Aparatos ortopédicos: muletas,bastones, otros"	"SALUD"	"Productos, artefactos y equipos médicos"	"Artefactos y equipos terapéuticos"	"Artefactos y equipos terapéuticos"
"Prótesis dentales y dentadura postiza"	"SALUD"	"Productos, artefactos y equipos médicos"	"Artefactos y equipos terapéuticos"	"Artefactos y equipos terapéuticos"
"Calzado ortopédico"	"SALUD"	"Productos, artefactos y equipos médicos"	"Artefactos y equipos terapéuticos"	"Artefactos y equipos terapéuticos"
"Reparación de artefactos terapéuticos"	"SALUD"	"Productos, artefactos y equipos médicos"	"Artefactos y equipos terapéuticos"	"Artefactos y equipos terapéuticos"
"Alquiler de camas especiales, sillas de ruedas, otros"	"SALUD"	"Productos, artefactos y equipos médicos"	"Artefactos y equipos terapéuticos"	"Artefactos y equipos terapéuticos"
"Medico general (particular), consulta"	"SALUD"	"Servicios para pacientes externos"	"Servicios médicos particulares"	"Servicios médicos particulares"
"Médico especialista, (particular), consulta"	"SALUD"	"Servicios para pacientes externos"	"Servicios médicos particulares"	"Servicios médicos particulares"
"Servicios dentales particulares"	"SALUD"	"Servicios para pacientes externos"	"Servicios dentales particulares"	"Servicios dentales particulares"
"Análisis de sangre, orina, otros (particulares)"	"SALUD"	"Servicios para pacientes externos"	"Servicios paramédicos particulares"	"Servicios paramédicos particulares"
"Radiografías, tomografías,  ecografías, centellogramas (particulares)"	"SALUD"	"Servicios para pacientes externos"	"Servicios paramédicos particulares"	"Servicios paramédicos particulares"
"Ultrasonido, endoscopía, fibroscopía (particulares)"	"SALUD"	"Servicios para pacientes externos"	"Servicios paramédicos particulares"	"Servicios paramédicos particulares"
"Servicio de enfermero, practicante, toma de presión (particular)"	"SALUD"	"Servicios para pacientes externos"	"Servicios paramédicos particulares"	"Servicios paramédicos particulares"
"Tratamientos terapéuticos particulares: Psicólogo, psicomotricista, psicopedagogo, otros"	"SALUD"	"Servicios para pacientes externos"	"Servicios paramédicos particulares"	"Servicios paramédicos particulares"
"Medicina no tradicional particular: Homeopatía, acupuntura, masajes terapéutico, otros"	"SALUD"	"Servicios para pacientes externos"	"Servicios paramédicos particulares"	"Servicios paramédicos particulares"
"Servicio de internación, intervención quirúrgica (particular)"	"SALUD"	"Servicios de hospital"	"Servicios de hospital"	"Servicios de hospital"
"Internación en clínica privada: tratamiento de adicciones, otros"	"SALUD"	"Servicios de hospital"	"Servicios de hospital"	"Servicios de hospital"
"Cirujías plásticas, lipoaspiración, tratamientos con láser, de belleza"	"SALUD"	"Servicios de hospital"	"Servicios de hospital"	"Servicios de hospital"
"Cuota mutual"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Cuota mutual"	"Cuota mutual"
"Cuota mutual - DISSE"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Cuota mutual - DISSE"	"Cuota mutual - DISSE"
"Cuotas de seguros integrales"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Cuotas de seguros integrales"	"Cuotas de seguros integrales"
"Cuotas de seguros parciales"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Cuotas de seguros parciales"	"Cuotas de seguros parciales"
"Ordenes para consultas médicas"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Órdenes y tickets de análisis y medicamentos"	"Órdenes y tickets de análisis y medicamentos"
"Tickets de medicamentos"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Órdenes y tickets de análisis y medicamentos"	"Órdenes y tickets de análisis y medicamentos"
"Tickets de análisis clínicos y estudios especiales"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Órdenes y tickets de análisis y medicamentos"	"Órdenes y tickets de análisis y medicamentos"
"Arancel y cuota por derecho a atención en salud pública"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Arancel y cuota por derecho a atención en salud pública"	"Arancel y cuota por derecho a atención en salud pública"
"Cuota de emergencia médico móvil"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Cuota de emergencia médico móvil"	"Cuota de emergencia médico móvil"
"Servicio de acompañantes"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Servicio de acompañantes"	"Servicio de acompañantes"
"Cuota por seguros odontológicos"	"SALUD"	"Servicios médicos mutuales y colectivos"	"Cuota por seguros odontológicos"	"Cuota por seguros odontológicos"
"Autos y camionetas"	"TRANSPORTE"	"Adquisición de vehículos"	"Autos y camionetas"	"Autos y camionetas"
"Motocicletas"	"TRANSPORTE"	"Adquisición de vehículos"	"Motocicletas"	"Motocicletas"
"Bicicletas"	"TRANSPORTE"	"Adquisición de vehículos"	"Bicicletas"	"Bicicletas"
"Otros vehículos de transporte personal"	"TRANSPORTE"	"Adquisición de vehículos"	"Otros vehículos de transporte personal"	"Otros vehículos de transporte personal"
"Neumáticos, cámaras, cubiertas"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Piezas de repuesto y accesorios para equipo de transporte"	"Piezas de repuesto y accesorios para equipo de transporte"
"Accesorios y repuestos de auto"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Piezas de repuesto y accesorios para equipo de transporte"	"Piezas de repuesto y accesorios para equipo de transporte"
"Accesorios y repuestos de moto y bicicleta"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Piezas de repuesto y accesorios para equipo de transporte"	"Piezas de repuesto y accesorios para equipo de transporte"
"Nafta"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Combustibles y lubricantes para  el equipo de transporte"	"Combustibles y lubricantes para  el equipo de transporte"
"Gas Oil"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Combustibles y lubricantes para  el equipo de transporte"	"Combustibles y lubricantes para  el equipo de transporte"
"Lubricantes - aceites para vehículos"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Combustibles y lubricantes para  el equipo de transporte"	"Combustibles y lubricantes para  el equipo de transporte"
"Chapa y pintura, reparación de"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Mantenimiento y reparación de equipo de transporte"	"Mantenimiento y reparación de equipo de transporte"
"Servicio de auxilio de automóvil (cuota mensual)"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Mantenimiento y reparación de equipo de transporte"	"Mantenimiento y reparación de equipo de transporte"
"Reparaciones mecánicas de vehículos"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Mantenimiento y reparación de equipo de transporte"	"Mantenimiento y reparación de equipo de transporte"
"Lavado y engrase,servicio de gomería"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Mantenimiento y reparación de equipo de transporte"	"Mantenimiento y reparación de equipo de transporte"
"Reparación de bicicletas  y vehículos sin motor"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Mantenimiento y reparación de equipo de transporte"	"Mantenimiento y reparación de equipo de transporte"
"Alquiler de garaje y cochera por mes"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Estacionamiento (no por mes)"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Peajes"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Lecciones para conducir"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Licencia de conducir"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Alquiler de automóviles sin conductor"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Alquiler de motos y bicicletas"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Automóviles, servicio de diagnóstico de (Computest)"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Servicio de remolque de vehículo"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Patente de rodado"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Empadronamiento de vehículo"	"TRANSPORTE"	"Funcionamiento de equipo de transporte personal"	"Otros servicios relativos al equipo de transporte "	"Otros servicios relativos al equipo de transporte "
"Transporte de pasajeros por ferrocarril"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por ferrocarril"	"Transporte de pasajeros por ferrocarril"
"Taxi , remise"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por carretera"	"Transporte urbano y suburbano"
"Omnibus local, boleto de"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por carretera"	"Transporte urbano y suburbano"
"Mini-bus, camioneta con conductor"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por carretera"	"Transporte urbano y suburbano"
"Boletos interdepartamentales y abonos"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por carretera"	"Boletos interdepartamentales y abonos"
"Omnibus interdepartamental larga distancia"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por carretera"	"Omnibus interdepartamental larga distancia"
"Pasaje de omnibus internacional"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por carretera"	"Pasaje de omnibus internacional"
"Transporte de pasajeros por aire"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por aire"	"Transporte de pasajeros por aire"
"Transporte de pasajeros por vías fluviales"	"TRANSPORTE"	"Servicios de transporte"	"Transporte de pasajeros por vías fluviales"	"Transporte de pasajeros por vías fluviales"
"Transporte combinado de pasajeros"	"TRANSPORTE"	"Servicios de transporte"	"Transporte combinado de pasajeros"	"Transporte combinado de pasajeros"
"Mudanza, servicio de"	"TRANSPORTE"	"Servicios de transporte"	"Otros servicios de transporte adquiridos"	"Otros servicios de transporte adquiridos"
"Fletes"	"TRANSPORTE"	"Servicios de transporte"	"Otros servicios de transporte adquiridos"	"Otros servicios de transporte adquiridos"
"Transporte escolar, servicio de"	"TRANSPORTE"	"Servicios de transporte"	"Otros servicios de transporte adquiridos"	"Otros servicios de transporte adquiridos"
"Gastos menores de transporte en viajes"	"TRANSPORTE"	"Servicios de transporte"	"Otros servicios de transporte adquiridos"	"Otros servicios de transporte adquiridos"
"Servicios postales"	"COMUNICACIONES"	"Servicios postales"	"Servicios postales"	"Servicios postales"
"Teléfonos, contestadores"	"COMUNICACIONES"	"Equipos telefónicos y de facsímil y su reparación"	"Equipos telefónicos y de facsímil y su reparación"	"Equipos telefónicos y de facsímil y su reparación"
"Teléfonos celulares"	"COMUNICACIONES"	"Equipos telefónicos y de facsímil y su reparación"	"Equipos telefónicos y de facsímil y su reparación"	"Equipos telefónicos y de facsímil y su reparación"
"Reparación de equipo telefónico y de facsímil"	"COMUNICACIONES"	"Equipos telefónicos y de facsímil y su reparación"	"Equipos telefónicos y de facsímil y su reparación"	"Equipos telefónicos y de facsímil y su reparación"
"Teléfono, cuota (ANTEL)"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Servicios telefónicos residencial"	"Servicios telefónicos residencial"
"Teléfono conexión"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Servicios telefónicos residencial"	"Servicios telefónicos residencial"
"Telefonía celular móvil ,cuotas por contratos"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Servicios de telefonía celular"	"Servicios de telefonía celular"
"Telefonía celular móvil, tarjetas"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Servicios de telefonía celular"	"Servicios de telefonía celular"
"Conexión a internet por contrato"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Conexión a internet por contrato"	"Conexión a internet por contrato"
"Tarjetas prepagas de teléfono público, monedero"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Otros servicios telefónicos"	"Otros servicios telefónicos"
"Servicio de beeper,radio llamadas"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Otros servicios telefónicos"	"Otros servicios telefónicos"
"Servicio de llamadas larga distancia"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Otros servicios telefónicos"	"Otros servicios telefónicos"
"Otros servicios telefónicos"	"COMUNICACIONES"	"Servicios telefónicos y de facsímil"	"Otros servicios telefónicos"	"Otros servicios telefónicos"
"Radio para el auto, auto-radio"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos de audio"	"Equipos de audio"
"Equipo de audio,minicomponente"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos de audio"	"Equipos de audio"
"Walkman, discman"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos de audio"	"Equipos de audio"
"Aparatos de radio y grabadores"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos de audio"	"Equipos de audio"
"Home theatre"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos de audio"	"Equipos de audio"
"Televisor"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos de televisión y video"	"Equipos de televisión y video"
"Video casetera, karaoke , reproductora DVD"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos de televisión y video"	"Equipos de televisión y video"
"Aparatos de fotografía, filmación, proyección"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos fotográficos y cinematográficos"	"Equipos fotográficos y cinematográficos"
"Cámara de fotos digital"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos fotográficos y cinematográficos"	"Equipos fotográficos y cinematográficos"
"Instrumentos ópticos: microscopio, telescopio, binoculares"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Equipos fotográficos y cinematográficos"	"Equipos fotográficos y cinematográficos"
"Computador,incluye portatil"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Computadoras, accesorios y programas"	"Computadoras, accesorios y programas"
"Impresora,disco duro,scanner,monitor,grabadora de CD"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Computadoras, accesorios y programas"	"Computadoras, accesorios y programas"
"Mouse,teclado,micrófono,parlantes"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Computadoras, accesorios y programas"	"Computadoras, accesorios y programas"
"Software"	"RECREACION Y CULTURA"	"Equipos de esparcimiento"	"Computadoras, accesorios y programas"	"Computadoras, accesorios y programas"
