"","unidad","udad_anio","year","loc","sexo","edad","educ","nombre","jefe","desemp","size","tparcial","multiemp","privado","publico","cpsl","cpcl","profytec","oficina","manual","indust","comercio","sfinan","sperson","subemp","precario","ingreso","grupos_agnes_single_5","grupos_agnes_single_13","grupos_agnes_complete_10","grupos_agnes_complete_17","grupos_agnes_complete_3","grupos_agnes_complete_8","grupos_agnes_average_3","grupos_agnes_average_7","grupos_agnes_average_13","grupos_agnes_ward_3","grupos_agnes_ward_4","grupos_agnes_ward_5","grupos_agnes_sing_cl_10","grupos_agnes_mcl_9","grupos_agnes_mal_10"
"22","u9","MH331995",1995,"M","H","3","3","MH33",94.77,1.23,31.78,16.2,31.78,25.55,30.53,4.98,20.56,45.79,8.72,1.56,12.46,11.53,25.86,1.25,2.49,1.25,8.82,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"23","u17","MM321995",1995,"M","M","3","2","MM32",36.98,7,38.42,25.1,8.11,43.63,19.88,6.76,19.88,9.27,27.61,16.02,20.27,23.17,6.76,15.64,5.02,5.02,2.63,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"24","u7","MH311995",1995,"M","H","3","1","MH31",91.42,5.23,40.48,12.17,6.76,44.85,18.21,11.45,15.92,1.46,7.91,39.33,22.27,22.27,3.12,11.24,3.23,6.14,2.88,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"25","u16","MM311995",1995,"M","M","3","1","MM31",39.51,7.71,39.74,31.82,11.14,56.89,8.94,5.72,20.97,2.2,6.16,17.6,18.48,20.23,2.79,41.64,4.11,15.54,1.99,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"26","u15","MM231995",1995,"M","M","2","3","MM23",19.04,3.68,23.8,27.84,36.56,36.98,40.06,2.44,14.77,64.61,20.83,2.13,7.23,7.12,13.92,2.13,8.71,1.91,5,"3","6","6","7","2","5","3","6","8","3","4","4","6","7","7"
"27","u11","MM121995",1995,"M","M","1","2","MM12",4.84,16.85,18.81,14.93,6.31,80.95,8.98,1.94,5.95,8.13,34.22,16.26,20.51,28.52,10.68,16.5,9.95,20.02,2.01,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"28","u12","MM131995",1995,"M","M","1","3","MM13",7.95,15.26,21.26,33.72,14.18,58.24,25.67,2.11,7.85,37.74,38.89,2.68,8.62,15.71,21.65,3.45,9.39,6.51,2.89,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"29","u19","IH111995",1995,"I","H","1","1","IH11",32.57,10.1,34.32,5.08,4.03,73.52,9.11,10.59,5.72,0,1.06,58.9,19.7,12.29,0.64,6.57,6.14,44.49,1.5,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"30","u26","IH321995",1995,"I","H","3","2","IH32",92.48,2.75,43.58,12.08,12.45,24.15,30.57,8.49,19.43,5.09,15.85,31.89,21.32,18.87,7.92,6.04,1.32,2.83,3.36,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"31","u3","MH131995",1995,"M","H","1","3","MH13",29.13,13.59,19.38,23.6,19.1,61.8,21.35,5.34,8.15,36.24,33.15,7.02,12.92,17.42,23.31,2.25,10.96,4.21,3.34,"1","9","4","5","2","3","3","4","5","2","2","2","4","4","5"
"32","u20","IH121995",1995,"I","H","1","2","IH12",24.45,10.42,34.3,3.76,6.39,65.62,15.05,6.74,9.19,3.15,10.59,49.52,23.8,21.52,2.8,5.86,6.65,24.23,1.81,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
