"jefe"	 "desemp"	 "size"	 "tparcial"	 "multiemp"	 "privado"	 "publico"	 "cpsl"	 "cpcl"	 "profytec"	 "oficina"	 "manual"	 "indust"	 "comercio"	 "sfinan"	 "sperson"	 "subemp"	 "precario"	 "ingreso"	 "Comp.1"	 "Comp.2"	 "norma"	 "Cos 1"	 "Cos 2"
32,64	 19,25	 50,78	 54,92	 2,07	 63,21	 7,77	 17,62	 10,36	 2,59	 1,55	 38,34	 17,1	 31,09	 0	 0	 21,76	 54,92	 1,1	 -39,3415697593397	 -21,8573722883397	 3256,9038455679	 0,475224073082547	 0,621910848622823
78,93	 6,69	 40,89	 18,6	 5,91	 40,6	 25,97	 11,53	 14,92	 6,69	 12,69	 41,76	 14,15	 21,71	 2,81	 2,03	 8,72	 37,11	 1,81	 25,9412289035768	 -34,1999681366956	 2354,74564390123	 0,285783459785007	 0,782498603342164
76,36	 6,49	 31,53	 26,67	 21,6	 46,25	 23,75	 6,74	 15,56	 36,74	 14,24	 26,6	 14,17	 15,49	 5,14	 8,89	 10,28	 21,11	 3,8	 36,4314006654914	 -0,142049984794054	 1816,69626612346	 0,730582750236893	 0,730593857320976
71,62	 8,92	 38,15	 24,81	 8,21	 53,73	 15,95	 8,68	 14,93	 9,05	 15,95	 35,63	 17,16	 24,35	 3,17	 3,36	 12,22	 33,58	 2,54	 14,5765751150879	 -26,9034083373004	 1292,24511945679	 0,164424333190841	 0,724529664033783
24,94	 19,87	 36,65	 46,29	 7,11	 70,14	 7,42	 9,79	 9,64	 11,69	 13,9	 28,91	 16,43	 28,75	 2,53	 2,21	 15,32	 49,13	 1,47	 -36,8333697652655	 -3,1162238837171	 2064,29188445679	 0,657221557900852	 0,6619257624596
91,29	 3,87	 49,66	 16,11	 16,11	 26,85	 26,51	 10,07	 27,18	 26,17	 8,39	 43,96	 19,8	 16,11	 1,34	 9,73	 7,38	 20,13	 2,71	 52,1502979278563	 -27,8458256992028	 4103,31745890124	 0,662793849416765	 0,851760464024745
88,78	 4,54	 38,71	 22,99	 20,48	 36,33	 22,59	 6,74	 21,66	 40,42	 8,19	 24,17	 14,93	 15,59	 3,43	 10,17	 8,72	 11,23	 4,91	 52,8434228319233	 -4,17386661298153	 3339,09949279012	 0,836281561128357	 0,841498884703344
26,06	 17,13	 29,27	 38,25	 12,2	 68,29	 12,32	 4,88	 10,01	 27,98	 21,18	 21,57	 14,25	 20,41	 2,82	 4,24	 10,14	 31,71	 1,9	 -18,0288466526742	 16,660036385292	 1179,64885612346	 0,2755390385354	 0,510826692923806
40,89	 8,74	 49,69	 27,9	 8,35	 45,42	 21,79	 6,52	 18,53	 9,78	 29,94	 13,65	 16,7	 17,72	 3,05	 14,87	 14,66	 20,37	 2,28	 0,332904312197507	 3,07991485443389	 658,272353901235	 0,000168357793583297	 0,0145786173986613
89,44	 4,95	 39,76	 13,54	 7,29	 40,45	 19,62	 5,38	 18,58	 14,76	 20,31	 27,95	 14,58	 23,09	 3,47	 3,82	 5,9	 17,19	 3,13	 43,3885845596683	 -24,8221675621548	 2871,00645167901	 0,6557175338253	 0,870325202896667
5,75	 31,69	 60,82	 68,75	 3,61	 78,37	 4,09	 6,25	 8,89	 4,57	 17,55	 4,33	 10,1	 26,92	 0,96	 8,89	 16,11	 69,71	 0,93	 -78,3916791572606	 7,28706886675046	 7209,8300505679	 0,852343996736905	 0,859709131878277
38,79	 6,62	 74,61	 32,68	 11,02	 62,8	 8,46	 8,07	 16,34	 1,57	 5,31	 14,76	 16,73	 12,99	 0,39	 8,27	 19,69	 38,19	 1,51	 -23,7709374703464	 -17,3556989907161	 1963,35534279012	 0,287801935749499	 0,441223112696652
27,33	 14,93	 36,68	 34,33	 7,84	 72,88	 8,78	 5,49	 10,19	 10,34	 13,48	 29	 17,4	 32,13	 0,78	 2,51	 11,29	 48,43	 1,43	 -32,0173221739711	 -7,37395008673142	 1767,75101834568	 0,579894401730393	 0,610653903106606
78,06	 5,4	 48,95	 18,41	 4,08	 47,79	 17,83	 19,93	 12	 2,1	 1,63	 52,21	 13,4	 15,97	 0	 1,17	 9,79	 44,64	 1,35	 16,3037802482622	 -49,5620517772174	 3364,21060112346	 0,079012072042951	 0,809167602599594
25,68	 20,91	 67,82	 60,63	 10,06	 71,55	 5,17	 8,05	 10,92	 1,44	 4,31	 13,51	 14,66	 16,38	 0,57	 8,33	 23,56	 60,63	 1,31	 -55,579556038903	 -9,5922523784919	 4382,0702455679	 0,704937820795071	 0,725935043691199
17,82	 21,78	 39,24	 44,94	 8,23	 66,14	 12,34	 7,91	 12,66	 14,56	 11,39	 38,29	 17,72	 26,58	 0,63	 3,8	 11,39	 57,91	 1,29	 -41,4502533615221	 -3,86609218313169	 2667,72590890123	 0,644040490817147	 0,649643266094248
9,09	 34,27	 72,34	 81,91	 3,19	 77,66	 1,06	 13,83	 5,32	 0	 2,13	 10,64	 17,02	 15,96	 0	 3,19	 23,4	 75,53	 0,81	 -85,3116405485339	 -4,46632402539888	 9754,41468167901	 0,746131495388659	 0,748176523301745
24,79	 12,63	 43,04	 33,82	 9,01	 60,42	 16,44	 4,29	 12,77	 8,27	 26,39	 8,38	 11,94	 22,51	 3,25	 12,25	 13,93	 36,54	 1,89	 -25,173042542713	 9,1823645471622	 1064,96502723457	 0,595026178937298	 0,674198561617251
8,93	 39,29	 58,82	 100	 4,41	 79,41	 0	 8,82	 8,82	 1,47	 2,94	 16,18	 19,12	 22,06	 0	 0	 25	 75	 1,03	 -88,4467791053221	 0,76060080011717	 11595,5303644568	 0,674642080890461	 0,674691971974262
24,99	 7,73	 29,46	 36,96	 24,39	 45,65	 30,39	 3,56	 15,38	 51,84	 24,33	 4,69	 8,07	 10,13	 3,75	 22,08	 14,51	 17,51	 3,41	 5,87146357076425	 49,7840210651055	 2855,1252305679	 0,012074456172262	 0,880144524299497
32,88	 16,67	 45,41	 38,92	 3,24	 60	 8,11	 23,24	 7,03	 2,7	 1,62	 41,08	 18,38	 27,57	 0	 0	 15,14	 54,59	 1,13	 -31,2978685852334	 -25,0349246674772	 2583,66309445679	 0,379134795120992	 0,621715747123183
39,73	 7,03	 58,43	 22,38	 6,1	 36,92	 22,67	 10,17	 21,51	 10,76	 20,06	 13,37	 12,79	 20,93	 0	 11,63	 11,92	 28,49	 1,62	 0,0786208958306423	 -1,99633089791095	 875,829386123457	 7,05759062112744e-06	 0,00455741536246251
10,74	 23,99	 39,29	 49,23	 4,64	 79,91	 5,96	 5,08	 6,4	 5,96	 26,49	 7,95	 18,32	 32,23	 1,32	 7,28	 10,6	 49,67	 1,28	 -55,6962191990194	 9,90224196860994	 3983,99622390123	 0,778632473207415	 0,803244543725113
33,51	 11,53	 54,55	 33,33	 3,03	 63,33	 8,48	 19,7	 7,88	 1,82	 1,21	 44,24	 16,67	 17,88	 0	 0,61	 14,85	 61,21	 0,95	 -33,4793306331572	 -30,9917983700477	 2992,6939655679	 0,374533979264251	 0,695479447548185
39,44	 4,78	 38,49	 25,94	 15,48	 26,78	 41	 6,28	 20,08	 52,3	 10,46	 9,62	 7,95	 10,46	 0,84	 15,48	 12,97	 18,83	 3,04	 25,4870124202149	 36,4707508762413	 2826,2072155679	 0,229844364747919	 0,700480651482322
76,02	 7,64	 47,88	 24,23	 5	 50,96	 11,54	 19,04	 15,38	 2,31	 3,27	 45,77	 19,23	 25,38	 0	 1,35	 11,73	 42,31	 1,48	 11,0561906528182	 -46,3147062797397	 2699,08603501235	 0,0452891646156456	 0,840021896345239
90,23	 4,94	 58,08	 18,87	 3,16	 32,54	 19,66	 20,79	 23,16	 2,37	 4,41	 52,32	 11,86	 19,55	 0,23	 1,02	 11,19	 29,49	 1,45	 35,2555029015884	 -52,3316393088517	 4651,4447105679	 0,267218157408164	 0,855981572467094
3,57	 26,95	 39,11	 65,33	 7,11	 58,22	 26,22	 2,67	 9,78	 35,11	 20,89	 8	 6,22	 20,89	 1,78	 9,33	 17,78	 49,33	 1,29	 -45,2497261746067	 41,0416805442542	 4512,73727445679	 0,453724113403734	 0,826983055693781
77,02	 3,12	 43,63	 18,01	 16,4	 40,41	 23,72	 11,27	 19,03	 22,99	 8,64	 47	 15,96	 15,96	 1,46	 6,88	 9,66	 34,11	 2,27	 31,5762811352561	 -26,5737498169416	 2281,72480223457	 0,436977118956797	 0,746464125734229
90,8	 4,09	 50,11	 15,57	 8,74	 29,85	 23,24	 12,15	 24,52	 11,94	 15,35	 39,45	 11,94	 22,81	 1,28	 2,56	 7,25	 24,31	 2,13	 44,1347926977305	 -35,0785010469275	 3645,00133167901	 0,534397589801259	 0,871983539360428
21,95	 17,25	 79,79	 45,89	 6,95	 62,74	 5,26	 11,58	 15,58	 1,26	 2,11	 12,84	 13,68	 14,53	 0	 4	 18,53	 59,58	 0,97	 -50,6543412700095	 -13,4715820817577	 4195,6754505679	 0,61154927728056	 0,654804177694978
72,24	 7,03	 35,98	 19,43	 6,6	 55,41	 14,64	 6,22	 15,41	 11,48	 17,22	 36,56	 18,66	 24,31	 3,25	 3,06	 9	 32,82	 2,37	 17,3425134129042	 -27,1658028313055	 1464,40985723457	 0,205381553525411	 0,709325746350628
77,89	 4,21	 41,67	 14,29	 6,78	 44,41	 23,35	 11,17	 15,84	 8,61	 13,46	 42,03	 11,72	 21,52	 2,47	 2,66	 7,05	 37,82	 1,93	 25,3459291689109	 -34,4814896720403	 2280,96369501235	 0,281642415808802	 0,80290153650541
13,97	 20,02	 27,77	 52,41	 9,26	 68,84	 17,73	 2,61	 8,87	 34,55	 33,38	 5,35	 11,34	 16,43	 2,87	 12,26	 14,6	 29,99	 1,96	 -29,0391926696172	 40,0908260631121	 3063,54106834568	 0,275261435081241	 0,799907359051388
38,61	 11,22	 78,35	 30,65	 6,7	 53,83	 9,39	 9,96	 21,84	 0,96	 6,13	 12,84	 11,3	 17,05	 0,19	 6,7	 14,37	 49,04	 1,12	 -26,1498321551482	 -19,7440609947329	 2438,43518279012	 0,280431371138594	 0,440299448549486
20,36	 14,09	 53,33	 34,6	 7,41	 55,34	 18,41	 5,61	 14,71	 6,56	 21,59	 8,89	 10,48	 20,74	 0,95	 12,17	 14,39	 47,72	 1,38	 -33,3634279892558	 5,3866566907526	 1578,38652223457	 0,70522543845495	 0,723608812802921
76,51	 4,55	 32,67	 20,94	 21,97	 47,55	 21,13	 4,7	 17,78	 35,5	 14,11	 25,77	 14,88	 16,37	 4,45	 7,99	 7,35	 20,81	 3,78	 37,46027464689	 -2,62535160807561	 1834,6040755679	 0,764891016709448	 0,768647942335971
86,84	 7,74	 60,23	 25,34	 4,36	 38,93	 12,25	 19,63	 22,99	 3,02	 3,36	 51,51	 15,77	 23,49	 0,67	 1,17	 13,76	 26,85	 1,8	 27,7437431851152	 -51,3928661284374	 4045,99143001235	 0,190241452369877	 0,843042313316692
27,46	 14,4	 44,81	 30,19	 3,46	 69,18	 10,69	 11,64	 7,08	 5,5	 7,08	 41,82	 18,87	 26,89	 0,31	 0,79	 9,28	 62,11	 1,18	 -36,8717689055995	 -22,6375606633045	 2803,03568890123	 0,485019633396412	 0,667842547429901
21,86	 8,78	 30,75	 33,96	 16,79	 34,15	 43,4	 3,58	 14,72	 50	 18,68	 6,23	 7,17	 9,81	 1,32	 16,79	 15,09	 27,36	 2,66	 5,76344054918676	 48,633880207979	 3122,71869723457	 0,0106372844257239	 0,768071601573369
46,76	 5,54	 38,2	 31,9	 19,31	 36,05	 33,05	 4,58	 19,89	 50,5	 15,88	 8,01	 8,58	 7,73	 1,43	 21,32	 15,31	 10,59	 3,55	 26,2353562363776	 34,7999566129653	 2445,35945723457	 0,281469423570154	 0,776708263275878
