"jefe"	 "desemp"	 "size"	 "tparcial"	 "multiemp"	 "privado"	 "publico"	 "cpsl"	 "cpcl"	 "profytec"	 "oficina"	 "manual"	 "indust"	 "comercio"	 "sfinan"	 "sperson"	 "subemp"	 "precario"	 "ingreso"	 "Comp.1"	 "Comp.2"	 "norma"	 "Cos 1"	 "Cos 2"
8,18	 26,59	 33,44	 53,93	 4,43	 83,44	 5,74	 2,3	 6,72	 6,72	 25,9	 6,56	 16,07	 30,82	 2,13	 10,33	 13,93	 51,97	 1,95	 -60,7708188844316	 14,1832798273203	 4809,39081001235	 0,767891937622535	 0,809719569147359
42,67	 5,68	 35,92	 31,84	 21,36	 36,7	 30,87	 5,24	 21,36	 56,31	 14,95	 7,77	 8,16	 6,8	 2,14	 20,58	 16,89	 13,01	 5,6	 24,3309525236501	 39,7493953425575	 2800,87417945679	 0,211360886915287	 0,77547563426369
80	 7,51	 48,42	 18,57	 3,69	 48,95	 16,35	 16,98	 15,51	 2,43	 2,74	 55,59	 14,66	 16,24	 0,21	 0,74	 6,86	 45,99	 1,93	 16,6425793475846	 -52,0998800997612	 3638,26381501235	 0,0761284671545206	 0,822197923473009
87,31	 6,95	 43,34	 18,83	 6,49	 41,56	 17,69	 7,95	 17,05	 14,29	 19,16	 27,6	 14,29	 23,38	 6,17	 2,27	 9,9	 18,18	 3,64	 38,2493713094901	 -24,5967161863458	 2456,97496890124	 0,595453524797408	 0,841690647604647
88,06	 5,97	 38,55	 23,49	 20,53	 34,27	 24,96	 7,68	 20,83	 42,25	 11,37	 21,86	 13,88	 17,73	 4,73	 11,67	 11,67	 11,37	 5,88	 52,9374920199803	 -0,44682031934859	 3379,11699334568	 0,82932259134089	 0,829381674349314
86,07	 8,83	 55,37	 30,71	 5,75	 40,39	 15,43	 16,79	 20,12	 2,72	 5,6	 48,11	 14,52	 25,26	 0,76	 1,06	 18,31	 28,29	 2,25	 25,1078857555064	 -46,1503498256007	 3494,62459501235	 0,180393032204747	 0,789859008053806
32,82	 18,58	 50,63	 43,44	 2,19	 63,13	 9,69	 18,75	 7,5	 2,19	 0,31	 49,38	 17,81	 17,81	 0	 0,31	 14,69	 58,75	 1,26	 -35,510970334883	 -29,118967963144	 3258,39795612346	 0,387008901646009	 0,647233191820613
71,16	 9,56	 38,63	 24,69	 7,99	 54,8	 14,92	 9,06	 13,77	 10,48	 16,25	 37,66	 18,29	 24,87	 3,91	 3,64	 11,19	 32,5	 3,02	 14,4475706830673	 -27,140861394973	 1298,74856167901	 0,160718021025086	 0,727899674961879
75,42	 6,82	 33,91	 26,67	 21,09	 44,78	 22,32	 8,77	 16,45	 37,25	 11,74	 28,33	 15,72	 16,38	 5,22	 7,75	 11,45	 20,8	 4,54	 36,0513211920388	 -1,75739351290371	 1756,63538334568	 0,73987907337728	 0,741637225346936
34,78	 7,73	 38,22	 28,27	 17,8	 32,98	 35,08	 8,38	 16,75	 46,6	 12,04	 12,57	 10,99	 13,09	 1,05	 14,14	 14,66	 27,23	 2,7	 13,094067489265	 31,1574872995329	 1783,73814834568	 0,096120948902978	 0,640365077852572
