"unidad"	"nombre"	"AÑO"	"JEFE"	"DESEMP"	"udad_anio"	"TAMAÑO"	"TPARCIAL"	"MULTIEMP"	"PRIVADO"	"PÚBLICO"	"CPSL"	"CPCL"	"PROFYTEC"	"OFICINA"	"MANUAL"	"INDUST"	"COMERCIO"	"SFINAN"	"SPERSON"	"SUBEMP"	"PRECARIO"	"INGRESO"
"135"	"u27"	"IH33"	1998	95.19	1.92	"IH331998"	34.31	13.73	33.33	34.31	26.47	1.96	13.73	48.04	11.76	0.98	8.82	11.76	15.69	1.96	2.94	2.94	6.23
"136"	"u24"	"IH23"	1998	81.82	2.27	"IH231998"	37.21	6.2	39.53	37.21	24.81	4.26	20.93	46.9	12.79	7.75	6.59	11.63	18.6	4.26	3.88	2.33	5.47
"137"	"u13"	"MM21"	1998	22.32	13.84	"MM211998"	62.31	24.2	14.78	75.37	4.28	3.21	11.56	1.5	4.28	16.27	16.27	16.7	1.93	52.03	10.71	35.97	2.2
"138"	"u5"	"MH22"	1998	75.46	4.28	"MH221998"	31.16	4.22	11.24	53.2	16.08	8.13	13.16	4.97	14.4	35.01	23.09	20.48	6.27	7.95	5.09	6.58	3.94
"139"	"u2"	"MH12"	1998	25.71	11.44	"MH121998"	28.46	6.97	5.56	71.82	8.29	7.35	8.11	3.96	18.47	41.85	22.62	26.2	6.03	7.54	7.45	15.65	2.48
"140"	"u22"	"IH21"	1998	80.53	5	"IH211998"	39.26	4.61	5.19	51.11	18.35	15.39	11.6	0.41	2.14	53.91	16.87	14.32	0.74	6.58	5.51	19.01	2.31
"141"	"u1"	"MH11"	1998	36.94	14.55	"MH111998"	34.5	10.04	3.49	68.12	7.86	15.28	7.86	0.44	3.06	68.12	21.83	19.21	2.18	7.42	5.68	31.88	2.02
"142"	"u26"	"IH32"	1998	91.1	2.51	"IH321998"	42.66	8.53	9.33	35.52	24.8	5.95	21.83	3.57	14.09	35.32	17.66	20.04	6.94	8.93	3.77	4.96	3.22
"143"	"u10"	"MM11"	1998	5.76	31.65	"MM111998"	57.89	28.42	10.53	84.21	6.32	0	8.42	1.05	5.26	18.95	18.95	14.74	1.05	52.63	14.74	76.84	1.9
"144"	"u16"	"MM31"	1998	38.72	5.39	"MM311998"	69.93	39.5	6.58	64.95	4.98	3.38	19.22	1.78	4.45	13.52	15.66	19.4	1.6	48.4	4.27	17.26	2.34
"145"	"u27"	"IH33"	1999	88.57	2.86	"IH331999"	38.24	23.53	29.41	32.35	30.88	4.41	20.59	54.41	8.82	5.88	8.82	8.82	17.65	4.41	4.41	5.88	6.63
"146"	"u16"	"MM31"	1999	41.68	8.09	"MM311999"	70.76	36.21	8.47	65.61	6.81	3.82	17.77	3.32	4.32	14.12	14.78	16.11	0.66	52.33	5.65	20.43	2.32
"147"	"u6"	"MH23"	1999	79.12	2.21	"MH231999"	24.5	7.41	32.79	46.23	22.74	3.02	14.2	47.74	12.94	4.77	11.43	13.69	22.74	1.76	5.15	2.01	7.85
"148"	"u1"	"MH11"	1999	32.38	17.79	"MH111999"	34.63	11.69	4.33	66.23	9.52	15.15	8.66	1.3	4.76	63.64	21.65	21.65	0.43	9.09	11.69	38.96	1.86
"149"	"u22"	"IH21"	1999	78.68	4.14	"IH211999"	41.71	5.27	6.23	50.34	18.5	15.82	13.04	0.96	1.82	56.57	15.24	10.55	0.96	7.57	6.62	20.81	2.26
"150"	"u29"	"IM12"	1999	5.24	19.5	"IM121999"	48.46	21.63	3.74	77.24	8.29	2.76	9.11	6.5	21.79	13.01	13.17	30.57	6.02	27.8	11.22	42.28	1.35
"151"	"u33"	"IM23"	1999	20.6	2.76	"IM231999"	23.26	28.42	31.01	27.91	51.42	1.81	14.21	71.83	12.66	1.81	2.33	7.49	10.59	2.07	6.98	4.65	4.78
"152"	"u13"	"MM21"	1999	23.61	16.16	"MM211999"	60.49	28.17	10.4	74.67	5.86	3.78	12.1	1.32	4.73	13.8	15.5	17.01	1.7	50.85	10.78	38.37	1.95
"153"	"u5"	"MH22"	1999	75.39	4.75	"MH221999"	33.37	5.38	10.93	52.8	15.18	8.5	15.41	5.67	15.3	34.16	20.34	20.57	7.88	8.1	6.18	7.65	4.14
"154"	"u2"	"MH12"	1999	26.81	13.37	"MH121999"	30.69	7.42	5.56	74.2	7.42	7.5	9.02	4.05	18.04	39.63	20.49	29.26	7.17	8.18	7.25	17.37	2.49
"155"	"u14"	"MM22"	1999	20.38	13.63	"MM221999"	38.41	21.11	9.62	61.31	16.89	3.88	11.76	10.59	29.34	12.73	15.99	22.21	8.51	20.97	8.1	15.78	2.89
"156"	"u28"	"IM11"	1999	8.47	20.63	"IM111999"	70	28	4	80.67	2	6	6.67	2	0.67	12.67	12.67	22	0	53.33	16	80.67	0.89
"157"	"u10"	"MM11"	1999	8.97	26.21	"MM111999"	54.21	29.91	3.74	88.79	0	3.74	6.54	0	4.67	7.48	14.02	25.23	0.93	53.27	5.61	69.16	1.35
"158"	"u36"	"IM33"	1999	36.7	1.83	"IM331999"	27.1	37.38	25.23	24.3	46.73	1.87	14.95	69.16	6.54	0	0.93	10.28	2.8	3.74	3.74	3.74	4.5
"159"	"u34"	"IM31"	1999	34.7	6.94	"IM311999"	75.91	35.18	6.88	51.24	9.18	6.5	27.72	1.34	3.82	15.68	15.3	21.99	0.96	43.21	6.5	24.86	1.54
"160"	"u8"	"MH32"	1999	89.62	5.07	"MH321999"	38.93	10.29	6.9	42.45	16.02	9.38	17.32	5.86	16.02	27.47	19.01	19.92	10.68	10.94	3.65	3.26	4.72
"161"	"u26"	"IH32"	1999	89.86	5.26	"IH321999"	48.56	10.91	5.76	31.07	22.02	9.47	24.28	3.5	12.96	33.95	20.58	21.4	7.2	8.02	5.35	7.2	3.14
"162"	"u4"	"MH21"	1999	75.78	7.55	"MH211999"	41.45	6.63	6.01	57.47	10.17	18.34	10.79	1.08	4.16	58.86	19.41	13.87	2.62	8.32	8.17	19.11	2.74
"163"	"u15"	"MM23"	1999	23.23	3.02	"MM231999"	23.47	24.34	28.53	41.87	36.32	1.75	15.87	62.8	22.4	0.88	4.28	7.3	17.92	1.56	8.96	1.17	6.27
"164"	"u35"	"IM32"	1999	34.74	8.12	"IM321999"	60.42	28.98	8.13	37.1	16.25	4.24	31.8	9.54	18.37	17.31	16.96	24.38	3.18	21.91	3.89	14.13	2.11
"165"	"u20"	"IH12"	1999	25.98	11.29	"IH121999"	37.87	4.34	4.73	69.63	11.64	8.19	8.09	2.76	8.78	55.03	22.58	21.1	2.56	7.99	8.88	31.66	1.9
"166"	"u11"	"MM12"	1999	8.32	21.87	"MM121999"	30.09	18.13	4.86	83.71	7.23	2.63	4.6	8.41	31.8	11.3	16.82	29.57	8.54	21.02	8.54	28.12	2
"167"	"u31"	"IM21"	1999	21.06	15.5	"IM211999"	73.98	29	11.29	67.71	5.96	5.02	16.46	1.41	2.98	12.23	14.11	19.28	1.25	47.49	9.25	47.34	1.36
"168"	"u18"	"MM33"	1999	41.32	3.16	"MM331999"	23.91	31.79	25.27	38.32	35.6	2.45	13.59	61.96	14.67	2.45	5.43	6.25	10.87	2.45	5.16	1.63	6.41
"169"	"u24"	"IH23"	1999	84.95	1.46	"IH231999"	29.56	7.39	33.99	36.95	28.08	4.93	17.73	51.72	5.91	5.91	9.36	10.34	18.23	0.99	3.94	4.43	5.95
"170"	"u9"	"MH33"	1999	92.73	1.3	"MH331999"	27.11	15.26	30.26	35	25.79	3.42	15.26	47.11	10.53	3.95	13.42	11.05	21.32	1.58	3.42	0.79	10.46
"171"	"u32"	"IM22"	1999	21.85	10.11	"IM221999"	49.05	22.92	9.17	50.43	20.93	4.15	18.69	8.65	24.22	12.11	13.41	24.83	5.02	21.19	10.03	22.75	2.07
"172"	"u17"	"MM32"	1999	36.63	8.01	"MM321999"	51.11	27.96	8.52	49.44	14.44	6.67	19.63	10	23.33	14.81	17.78	18.89	6.85	23.7	8.15	8.52	2.99
"173"	"u12"	"MM13"	1999	13.68	18.66	"MM131999"	19.61	29.95	14.01	66.37	23.29	1.23	7.18	36.78	44.13	1.4	5.6	15.94	22.07	3.15	13.31	8.06	3.08
"174"	"u21"	"IH13"	1999	14.81	17.28	"IH131999"	37.31	23.88	11.94	58.21	14.93	1.49	16.42	32.84	19.4	8.96	2.99	26.87	22.39	4.48	7.46	11.94	2.78
"175"	"u7"	"MH31"	1999	88.47	5.71	"MH311999"	45.9	15.51	4.79	44.64	14	11.73	21.19	0.88	6.56	38.34	17.78	23.2	2.77	12.74	5.04	10.09	3.07
"176"	"u23"	"IH22"	1999	80.58	3.03	"IH221999"	39.27	4.03	9.88	43.69	23.34	7.8	18.99	3.64	11.25	42.52	17.69	20.29	4.88	7.74	5.2	9.3	3.07
"177"	"u3"	"MH13"	1999	26.4	13.2	"MH131999"	19.85	26.55	10.57	70.62	15.98	3.35	6.44	32.99	37.37	6.7	8.76	19.59	31.19	2.32	8.76	5.67	3.25
"178"	"u25"	"IH31"	1999	90	6.12	"IH311999"	54.4	13.13	3.62	38.99	16.75	17.68	21.41	1.14	3.72	44.47	14.79	16.24	1.14	10.13	5.79	11.89	2.14
"179"	"u30"	"IM13"	1999	4.97	17.68	"IM131999"	26.85	36.91	13.42	46.31	36.24	4.7	10.74	58.39	22.15	2.68	4.03	20.13	8.05	4.03	12.08	9.4	2.75
"180"	"u19"	"IH11"	1999	35.52	11.59	"IH111999"	39.89	4.84	2.85	72.36	6.55	12.25	7.41	0.28	1.71	62.11	19.37	10.26	0.28	9.12	7.41	52.14	1.67
"181"	"u35"	"IM32"	2000	35.99	6.05	"IM322000"	52.88	27.12	9.49	42.03	24.75	4.07	21.36	11.86	18.31	11.53	12.2	16.95	3.39	20	5.42	17.29	2.19
"182"	"u19"	"IH11"	2000	31.56	17.56	"IH112000"	45.28	6.47	2.43	64.96	8.36	17.25	8.63	0	1.89	55.53	12.94	15.09	0.27	8.89	12.94	56.87	1.48
"183"	"u3"	"MH13"	2000	26.4	19.96	"MH132000"	21.56	23.9	12.99	71.17	14.03	3.12	8.31	33.77	31.95	9.87	10.13	18.18	30.13	1.04	12.21	7.27	3.28
"184"	"u18"	"MM33"	2000	39.84	4.95	"MM332000"	24.93	37.26	24.11	35.62	37.81	3.29	14.79	69.04	15.07	2.47	4.38	5.75	10.41	1.92	4.93	0.27	6.55
"185"	"u20"	"IH12"	2000	25.24	13.86	"IH122000"	40.16	5.84	4.3	67.32	11.37	7.79	11.48	2.46	8.2	46.93	17.62	23.26	1.84	8.81	10.66	34.94	1.8
"186"	"u2"	"MH12"	2000	25.46	15.17	"MH122000"	27.31	7.1	5.39	76.55	7.64	6.02	7.01	4.31	17.7	43.4	22.37	28.3	7.1	8.27	10.06	20.31	2.31
"187"	"u21"	"IH13"	2000	18.39	20.69	"IH132000"	33.33	27.54	7.25	47.83	30.43	4.35	10.14	28.99	20.29	7.25	1.45	26.09	11.59	4.35	8.7	11.59	2.55
"188"	"u15"	"MM23"	2000	25.81	6.24	"MM232000"	21.6	21.15	28.81	42.66	36.28	2.28	14.68	63.17	21.42	1.73	5.83	6.93	19.51	1.91	10.3	2.92	5.75
"189"	"u26"	"IH32"	2000	90.65	6.68	"IH322000"	47.24	11.66	6.95	33.74	21.88	9	25.36	5.11	13.29	31.08	15.75	12.27	6.95	7.16	5.32	8.59	3.15
"190"	"u24"	"IH23"	2000	80.65	2.15	"IH232000"	37.91	11.54	32.97	38.46	26.92	3.3	23.08	46.7	14.29	6.59	4.95	10.44	17.03	2.2	3.85	3.3	5.28
"191"	"u4"	"MH21"	2000	75.84	8.85	"MH212000"	43.76	5.39	5.86	54.7	10.94	17.26	12.33	1.39	3.7	54.7	18.64	18.95	2.93	10.48	10.17	18.03	2.4
"192"	"u22"	"IH21"	2000	77.64	6.62	"IH212000"	44.35	5.17	4.21	48.28	18.1	15.71	15.33	0.57	2.01	49.9	13.03	11.59	0.77	6.8	8.33	22.99	2.24
"193"	"u34"	"IM31"	2000	39.32	9.61	"IM312000"	71.46	39.76	8.07	56.89	12.01	4.92	22.83	1.97	3.74	12.2	12.01	17.72	0.39	40.75	6.89	35.43	1.6
"194"	"u13"	"MM21"	2000	23.96	18.51	"MM212000"	63.92	24.5	8.02	74.61	4.9	5.12	11.36	1.56	4.01	14.25	15.14	17.59	1.78	49.44	14.03	42.76	1.97
"195"	"u17"	"MM32"	2000	40.03	10.83	"MM322000"	50.88	27.99	6.69	45.77	18.31	7.22	17.25	12.5	25.35	8.63	12.32	22.36	8.1	20.25	7.04	7.75	2.91
"196"	"u30"	"IM13"	2000	4.3	21.51	"IM132000"	19.86	43.15	10.96	30.82	51.37	3.42	10.96	59.59	17.81	0.68	2.74	10.27	9.59	2.05	7.53	12.33	2.97
"197"	"u8"	"MH32"	2000	88.43	6.02	"MH322000"	36.81	10.68	7.66	40.95	20.23	9.92	14.45	5.53	19.22	24.5	18.47	19.1	10.3	8.17	4.77	3.39	4.51
"198"	"u36"	"IM33"	2000	28.44	1.83	"IM332000"	24.3	49.53	16.82	28.04	43.93	2.8	13.08	64.49	8.41	0.93	1.87	10.28	4.67	0.93	2.8	0.93	4.81
"199"	"u28"	"IM11"	2000	11.44	36.32	"IM112000"	71.88	28.13	4.69	85.16	2.34	3.13	7.81	0	0.78	7.81	8.59	16.41	0.78	54.69	15.63	100	0.78
"200"	"u9"	"MH33"	2000	90.71	2.14	"MH332000"	33.33	16.06	27.98	31.63	27.98	5.11	19.46	50.36	9.98	3.16	9.25	9	23.6	0.73	6.08	1.95	9.77
"201"	"u14"	"MM22"	2000	20.87	13.28	"MM222000"	36.84	19.14	8.95	62.34	17.22	4.03	11.48	9.36	31.99	11.28	15.93	21.05	8.34	20.16	11.28	16.81	2.82
"202"	"u7"	"MH31"	2000	89.46	6.62	"MH312000"	48.19	15.77	3.04	46.74	13.17	17.95	15.92	1.88	7.09	37.48	13.46	22.29	5.07	13.75	7.53	10.56	2.82
"203"	"u25"	"IH31"	2000	88.82	5.88	"IH312000"	52.37	11.88	3.63	38.47	18.43	16.52	21.45	1.21	4.73	38.67	12.39	13.19	1.71	8.36	6.45	13.49	2.34
"204"	"u12"	"MM13"	2000	12.18	20.54	"MM132000"	23.17	30.3	12.12	69.88	17.83	3.03	7.84	41.53	35.47	3.03	8.2	16.93	23.17	3.39	15.51	6.42	2.93
"205"	"u11"	"MM12"	2000	7.88	23.83	"MM122000"	33.12	15.18	5.5	83.9	6.41	2.09	4.71	8.12	30.24	12.57	17.15	33.12	8.25	20.16	12.96	33.25	1.88
"206"	"u33"	"IM23"	2000	16.07	4.59	"IM232000"	21.12	31.82	23.8	24.33	56.95	1.07	12.83	68.45	13.9	1.07	4.55	5.61	9.89	1.07	6.95	4.01	4.5
"207"	"u16"	"MM31"	2000	39.69	11.02	"MM312000"	73.27	33.1	6.73	66.02	6.73	5.31	18.23	2.3	5.49	11.5	12.92	17.52	1.77	51.68	7.61	21.06	2.14
"208"	"u27"	"IH33"	2000	92.86	4.76	"IH332000"	32.5	20	21.25	22.5	33.75	2.5	22.5	53.75	10	3.75	3.75	5	8.75	1.25	1.25	1.25	6.51
"209"	"u6"	"MH23"	2000	77.8	3.9	"MH232000"	26.65	8.12	30.46	46.57	24.11	3.81	14.34	47.34	15.74	5.58	11.42	15.86	22.84	1.4	4.82	2.66	8.02
"210"	"u23"	"IH22"	2000	77.88	3.9	"IH222000"	37.98	4.95	9.96	41.98	24.79	10.27	16.8	4.12	10.34	39.7	16.49	17.5	3.17	6.53	6.98	11.73	3.05
"211"	"u29"	"IM12"	2000	5.75	24.71	"IM122000"	47.02	18.93	4.58	76.18	6.72	2.29	10.69	6.56	23.36	8.7	10.08	31.6	5.8	24.43	11.6	48.4	1.27
"212"	"u5"	"MH22"	2000	73.96	6.03	"MH222000"	33.28	4.83	9.71	54.17	15.84	10.16	11.93	5.34	14.71	37.99	21.92	19.93	7.16	8.23	7.89	8.97	3.75
"213"	"u1"	"MH11"	2000	34.93	13.7	"MH112000"	39.68	5.56	1.59	66.27	7.54	18.65	7.54	1.19	3.57	58.73	17.06	25.4	3.17	9.92	10.71	33.33	1.96
"214"	"u32"	"IM22"	2000	18.59	11.52	"IM222000"	49.81	23.1	7.51	54.18	18.35	4.28	17.02	8.94	19.01	9.7	11.5	23.67	4.47	21.2	9.51	26.52	2.07
"215"	"u31"	"IM21"	2000	23.14	16.69	"IM212000"	73.29	30.65	8.04	66.77	5.46	6.07	16.39	1.67	2.43	11.68	12.59	17.15	1.67	45.98	13.81	54.63	1.33
"216"	"u10"	"MM11"	2000	8.59	38.65	"MM112000"	56	28	2	88	4	2	6	2	5	10	11	16	1	56	14	87	1.21
"217"	"u3"	"MH13"	2001	23.57	20.14	"MH132001"	25.79	40.26	8.31	70.92	10.89	5.44	9.89	29.51	25.21	21.2	14.76	21.78	6.02	4.58	10.32	36.82	2.84
"218"	"u33"	"IM23"	2001	18.97	7.23	"IM232001"	35.53	35.18	17.68	35.01	40.55	3.81	17.33	48.18	18.02	7.11	8.67	10.05	2.43	15.94	18.89	26.17	3.83
"219"	"u19"	"IH11"	2001	37.12	14.14	"IH112001"	49.12	30.59	2.94	70.29	6.47	12.35	9.12	1.76	0	52.35	17.65	13.82	0	0.59	6.76	67.06	1.47
"220"	"u14"	"MM22"	2001	24.38	16.74	"MM222001"	40.65	40.56	9.35	62.43	17.2	4.85	10.93	8.29	29.28	9.17	15.87	20.46	3.53	12.43	13.84	37.65	2.74
"221"	"u25"	"IH31"	2001	90.66	7.1	"IH312001"	57.7	18.53	3.87	36.96	17.38	18.01	21.26	1.99	3.87	54.03	11.31	20.84	0.1	1.15	9.42	32.98	1.95
"222"	"u17"	"MM32"	2001	40.72	8.93	"MM322001"	53.02	27.74	7.17	47.92	16.6	7.36	18.49	8.11	24.72	11.89	16.42	18.87	1.13	13.21	12.45	25.09	3.07
"223"	"u4"	"MH21"	2001	74.77	6.99	"MH212001"	48.69	24.84	4.9	48.2	12.25	23.04	14.05	1.31	3.27	54.74	17.81	22.39	0.33	1.14	13.07	36.76	2.18
"224"	"u23"	"IH22"	2001	76.34	5.65	"IH222001"	39.41	15.1	7.41	44.25	23.93	9.21	16.24	7.69	12.73	42.07	13.77	22.22	2.56	2.28	6.65	37.42	2.51
"225"	"u1"	"MH11"	2001	28.37	13.48	"MH112001"	43.03	33.2	3.69	64.34	6.56	21.72	6.97	2.46	2.46	45.49	21.31	20.9	0	0.82	11.07	55.74	1.66
"226"	"u13"	"MM21"	2001	21.45	23.09	"MM212001"	64.3	58.87	9.93	72.81	7.09	8.27	8.51	0.47	4.02	10.64	12.06	15.6	0.24	9.46	19.62	59.1	2.22
"227"	"u26"	"IH32"	2001	90.38	6.1	"IH322001"	46.75	13.75	5.5	30	26.5	7.75	22.5	12.75	17.25	37.5	14.25	19.25	2	1.25	5.25	24	2.85
"228"	"u34"	"IM31"	2001	37.63	12.88	"IM312001"	80.61	36.47	5.76	56.05	5.76	8.25	25.14	1.15	4.22	14.78	16.7	19.96	0	7.68	15.55	51.82	1.39
"229"	"u31"	"IM21"	2001	20.58	18.85	"IM212001"	76.06	47.7	5.85	68.62	4.79	5.5	16.31	1.06	3.55	10.11	13.12	16.67	0.53	6.56	17.38	65.25	1.33
"230"	"u20"	"IH12"	2001	28.02	14.44	"IH122001"	43.29	28.57	4.18	68.83	11.98	9.09	8.37	5.34	8.23	38.38	19.62	26.7	0.58	0.87	7.65	62.63	1.67
"231"	"u27"	"IH33"	2001	92.53	6.76	"IH332001"	56.87	17.56	14.12	27.86	17.56	9.92	32.44	20.99	7.25	50	19.08	20.23	1.91	4.96	6.11	21.76	2.84
"232"	"u36"	"IM33"	2001	35.42	6.25	"IM332001"	39.44	27.22	15.56	26.11	42.78	3.33	21.67	53.33	8.89	5	6.11	14.44	0.56	10	8.33	17.22	3.91
"233"	"u28"	"IM11"	2001	7.22	32.78	"IM112001"	70.25	76.03	4.13	79.34	0.83	9.92	7.44	0	4.13	9.92	10.74	15.7	0.83	0.83	16.53	76.86	1.17
"234"	"u8"	"MH32"	2001	87.71	5.44	"MH322001"	41.45	18.26	7.4	42.43	17.43	9.21	15.46	13.98	21.38	32.07	18.09	21.22	7.07	1.97	8.55	17.76	4.54
"235"	"u6"	"MH23"	2001	76.98	4.19	"MH232001"	32.63	20.37	23.04	45.03	21.85	7.19	15.5	38.76	11.63	25.02	15.08	16.14	5.71	8.1	8.03	20.93	5.23
"236"	"u16"	"MM31"	2001	42.35	12.78	"MM312001"	74.79	35.6	9.88	63.54	6.3	6.98	17.38	2.04	6.13	13.29	14.31	13.29	0.51	7.33	14.82	47.02	2.17
"237"	"u12"	"MM13"	2001	12.56	27.73	"MM132001"	25	61.06	12.79	66.24	19.4	4.45	7.61	37.93	37.07	2.73	8.19	16.24	2.59	15.52	13.79	32.9	2.92
"238"	"u30"	"IM13"	2001	4.45	28.01	"IM132001"	37.45	69.09	8	58.18	24.36	3.27	12.36	32.73	23.64	4.73	10.91	19.64	2.18	8.73	22.18	45.09	2.29
"239"	"u21"	"IH13"	2001	21.54	21.54	"IH132001"	41.18	41.5	7.84	61.44	14.38	8.82	12.75	18.3	10.13	40.52	16.34	20.92	0.98	1.96	7.52	55.88	1.94
"240"	"u2"	"MH12"	2001	25.95	15.7	"MH122001"	30.91	33.16	4.76	74.11	6.08	8.72	7.66	11.49	15.46	29.59	19.68	29.06	1.45	2.51	8.32	49.14	2.17
"241"	"u24"	"IH23"	2001	81.44	4.42	"IH232001"	42.06	18.03	18.34	40.99	24.65	9.09	17.72	23.42	7.86	41.91	15.87	17.26	2.16	7.09	7.86	34.67	3.13
"242"	"u32"	"IM22"	2001	21.23	15.08	"IM222001"	52.38	36.65	7.35	55.32	17.76	4.75	17.08	5.43	23.64	8.03	12.1	22.4	1.24	11.99	13.8	49.89	1.92
"243"	"u29"	"IM12"	2001	6.01	28.08	"IM122001"	53.24	56.99	3.97	75.16	7.52	5.01	7.31	3.76	20.46	5.43	11.27	32.99	2.09	6.89	12.11	68.48	1.4
"244"	"u9"	"MH33"	2001	92.36	5.14	"MH332001"	37.15	21.98	22.29	34.06	25.08	5.42	19.97	41.02	9.29	23.99	16.25	14.86	5.57	9.13	7.74	12.07	6.81
"245"	"u15"	"MM23"	2001	26.75	9.21	"MM232001"	27.26	38.23	26.5	44.58	32.57	3.66	14.42	54.8	24.22	3.66	8.7	9.04	4.97	21.05	13.87	16.56	4.94
"246"	"u7"	"MH31"	2001	88.04	7.53	"MH312001"	54.22	24.13	4.94	40.99	13.81	14.24	23.26	4.07	4.65	46.08	13.23	23.26	0.44	0.87	11.63	28.49	2.78
"247"	"u5"	"MH22"	2001	71.39	6.97	"MH222001"	36.06	19.88	8.85	54.42	16.43	7.75	13.56	12.55	14.83	37.57	16.09	22.75	3.71	3.29	10.19	31.09	3.44
"248"	"u35"	"IM32"	2001	36.11	6.94	"IM322001"	58.96	23.13	7.84	41.79	19.78	8.21	21.27	7.09	19.4	10.45	11.57	18.66	0.37	14.18	11.94	36.57	1.88
"249"	"u10"	"MM11"	2001	9.93	39.07	"MM112001"	66.3	84.78	5.43	79.35	0	8.7	8.7	0	5.43	9.78	15.22	21.74	3.26	1.09	10.87	66.3	1.72
"250"	"u11"	"MM12"	2001	8.18	26.59	"MM122001"	33.44	53.93	4.43	83.44	5.74	2.3	6.72	6.72	25.9	6.56	16.07	30.82	2.13	10.33	13.93	51.97	1.95
"251"	"u18"	"MM33"	2001	42.67	5.68	"MM332001"	35.92	31.84	21.36	36.7	30.87	5.24	21.36	56.31	14.95	7.77	8.16	6.8	2.14	20.58	16.89	13.01	5.6
"252"	"u22"	"IH21"	2001	80	7.51	"IH212001"	48.42	18.57	3.69	48.95	16.35	16.98	15.51	2.43	2.74	55.59	14.66	16.24	0.21	0.74	6.86	45.99	1.93
"253"	"u8"	"MH32"	2002	87.31	6.95	"MH322002"	43.34	18.83	6.49	41.56	17.69	7.95	17.05	14.29	19.16	27.6	14.29	23.38	6.17	2.27	9.9	18.18	3.64
"254"	"u9"	"MH33"	2002	88.06	5.97	"MH332002"	38.55	23.49	20.53	34.27	24.96	7.68	20.83	42.25	11.37	21.86	13.88	17.73	4.73	11.67	11.67	11.37	5.88
"255"	"u7"	"MH31"	2002	86.07	8.83	"MH312002"	55.37	30.71	5.75	40.39	15.43	16.79	20.12	2.72	5.6	48.11	14.52	25.26	0.76	1.06	18.31	28.29	2.25
"256"	"u19"	"IH11"	2002	32.82	18.58	"IH112002"	50.63	43.44	2.19	63.13	9.69	18.75	7.5	2.19	0.31	49.38	17.81	17.81	0	0.31	14.69	58.75	1.26
"257"	"u5"	"MH22"	2002	71.16	9.56	"MH222002"	38.63	24.69	7.99	54.8	14.92	9.06	13.77	10.48	16.25	37.66	18.29	24.87	3.91	3.64	11.19	32.5	3.02
"258"	"u6"	"MH23"	2002	75.42	6.82	"MH232002"	33.91	26.67	21.09	44.78	22.32	8.77	16.45	37.25	11.74	28.33	15.72	16.38	5.22	7.75	11.45	20.8	4.54
"259"	"u36"	"IM33"	2002	34.78	7.73	"IM332002"	38.22	28.27	17.8	32.98	35.08	8.38	16.75	46.6	12.04	12.57	10.99	13.09	1.05	14.14	14.66	27.23	2.7
"260"	"u21"	"IH13"	2002	23.9	22.33	"IH132002"	46.56	46.96	4.05	53.04	17.41	9.31	15.38	19.03	5.26	43.72	15.79	24.7	0.81	2.83	10.12	49.8	1.76
"261"	"u4"	"MH21"	2002	71.97	12.6	"MH212002"	48.83	36.4	6.67	51.17	12.61	21.8	12.25	1.08	2.34	54.05	16.58	20.72	0.36	1.8	16.76	41.08	1.87
"262"	"u18"	"MM33"	2002	44.73	6.46	"MM332002"	36.55	33.45	20.36	37.82	29.09	6.55	19.82	55.64	14.91	6.18	9.82	7.64	1.27	26	17.82	12	4.48
"263"	"u1"	"MH11"	2002	24.6	20.24	"MH112002"	53.23	57.71	5.47	58.71	6.97	25.87	7.46	2.49	1	43.28	16.92	26.37	0	0.5	21.89	50.25	1.37
"264"	"u27"	"IH33"	2002	91.07	5.84	"IH332002"	51.09	25.55	13.14	30.29	24.09	13.14	25.55	22.99	11.68	50	20.8	17.15	0.73	6.57	14.23	24.45	3.05
"265"	"u17"	"MM32"	2002	42.26	13.57	"MM322002"	46.88	34.61	8.65	45.47	20.72	6.04	18.11	13.68	28.37	12.07	15.49	15.9	2.62	14.69	16.5	21.33	2.74
"266"	"u13"	"MM21"	2002	25.71	23.44	"MM212002"	68.4	67.41	9.88	72.1	4.94	7.41	10.62	0.49	5.43	12.59	14.81	17.04	0.25	7.65	29.14	59.01	1.79
"267"	"u24"	"IH23"	2002	77.99	5.39	"IH232002"	44.22	19.11	14.02	39.45	22.8	10.48	19.57	24.04	6.78	44.38	14.64	20.49	2	6.78	9.71	31.59	2.56
"268"	"u16"	"MM31"	2002	44.18	10.69	"MM312002"	76.96	43.21	8.75	59.11	6.43	11.79	17.32	1.43	5.36	15	16.96	13.93	0.89	9.11	25.54	45.18	1.94
"269"	"u15"	"MM23"	2002	27.71	10.4	"MM232002"	26.89	41.97	24.84	45.58	32.98	3.89	14.3	53.15	26.54	2.97	7.08	9.55	5.59	21.02	18.05	17.34	4.34
"270"	"u34"	"IM31"	2002	35.47	16.04	"IM312002"	81.1	35.03	5.52	55.41	8.49	8.07	22.51	1.27	4.25	12.74	13.59	16.99	0.21	7.43	12.74	51.38	1.23
"271"	"u29"	"IM12"	2002	6.45	31.18	"IM122002"	54.24	64.96	2.68	77.23	7.59	4.24	8.04	4.91	20.76	7.81	10.27	29.69	3.13	7.37	13.62	72.99	1.26
"272"	"u14"	"MM22"	2002	23.49	17.05	"MM222002"	39.53	40.37	7.85	65.7	15.61	4.58	9.53	8.22	30.84	8.22	12.52	21.5	3.27	14.77	17.29	39.63	2.4
