"unidad"	"nombre"	"AÑO"	"JEFE"	"DESEMP"	"udad_anio"	"TAMAÑO"	"TPARCIAL"	"MULTIEMP"	"PRIVADO"	"PÚBLICO"	"CPSL"	"CPCL"	"PROFYTEC"	"OFICINA"	"MANUAL"	"INDUST"	"COMERCIO"	"SFINAN"	"SPERSON"	"SUBEMP"	"PRECARIO"	"INGRESO"
"31"	"u3"	"MH13"	1995	29.13	13.59	"MH131995"	19.38	23.6	19.1	61.8	21.35	5.34	8.15	36.24	33.15	7.02	12.92	17.42	23.31	2.25	10.96	4.21	3.34
"32"	"u20"	"IH12"	1995	24.45	10.42	"IH121995"	34.3	3.76	6.39	65.62	15.05	6.74	9.19	3.15	10.59	49.52	23.8	21.52	2.8	5.86	6.65	24.23	1.81
"33"	"u18"	"MM33"	1995	41.95	4.49	"MM331995"	28.63	32.55	22.75	26.27	42.75	2.75	19.22	62.35	14.51	1.96	7.45	6.27	8.24	3.14	3.92	0.78	5.4
"34"	"u31"	"IM21"	1995	16.6	10.72	"IM211995"	39.49	28.75	10.39	60.51	7.04	4.73	22.29	1.73	3.46	17.21	17.55	21.94	0.69	43.65	9.01	38.34	1.23
"35"	"u24"	"IH23"	1995	84.39	2.11	"IH231995"	34.91	9.05	43.1	31.47	31.03	5.17	18.1	49.57	13.36	6.03	10.34	10.34	12.5	3.02	3.45	1.72	4.86
"36"	"u33"	"IM23"	1995	10.73	0.98	"IM231995"	19.7	39.41	27.34	17.98	63.05	1.72	11.82	75.12	11.82	1.48	1.97	8.13	6.9	0.74	6.65	1.23	4.29
"37"	"u1"	"MH11"	1996	32.5	13.57	"MH111996"	43.8	9.09	7.44	59.09	9.09	19.83	9.92	0.83	4.96	60.33	22.31	26.03	1.24	7.44	9.5	28.93	2.15
"38"	"u15"	"MM23"	1996	22.33	3.59	"MM231996"	21.2	31.85	34.44	37.33	41.78	2.17	13.34	65.56	19.23	1.65	4.86	8.89	14.37	1.96	11.17	1.34	5.26
"39"	"u5"	"MH22"	1996	77.73	4.94	"MH221996"	33.35	8.54	14.31	51.41	16.85	8.37	13.73	4.56	15.75	34.39	21.29	21.64	7.91	7.39	6.64	7.5	3.98
"40"	"u21"	"IH13"	1996	17	20	"IH131996"	36.25	25	18.75	41.25	28.75	5	18.75	43.75	13.75	7.5	7.5	20	15	2.5	8.75	10	3.18
"41"	"u7"	"MH31"	1996	92.55	6.63	"MH311996"	46.45	20.87	6.01	45.36	14.21	14.97	17.38	1.09	7.21	38.47	17.27	22.73	4.26	10.49	5.79	8.31	3.26
"42"	"u32"	"IM22"	1996	13.68	8.63	"IM221996"	50.68	30.02	7.29	47.64	22.18	3.52	19.38	10.25	25.54	12.73	15.53	25.3	4.48	19.38	6.73	20.02	2.02
"43"	"u31"	"IM21"	1996	16.72	13.51	"IM211996"	72.34	36.24	7.94	64.4	7.43	4.23	18.31	1.15	3.2	16.01	18.05	20.36	0.77	45.97	8.83	44.3	1.48
"44"	"u3"	"MH13"	1996	23.81	15.71	"MH131996"	23.73	27.97	12.15	65.25	16.67	5.37	7.63	32.77	33.05	7.91	10.17	20.62	21.47	4.24	10.17	5.08	3.92
"45"	"u12"	"MM13"	1996	10.73	16.8	"MM131996"	21.5	34.21	13.27	66.54	21.31	1.68	7.85	34.95	43.36	4.3	7.48	17.94	23.55	3.74	14.02	5.61	3.49
"46"	"u29"	"IM12"	1996	3.67	24.03	"IM121996"	48.46	25.33	5.12	74.23	8.64	2.93	10.1	11.71	22.4	13.03	14.49	31.77	4.83	21.67	7.32	42.31	1.56
"47"	"u24"	"IH23"	1996	82.28	0.42	"IH231996"	30.51	10.59	41.1	27.97	34.75	4.24	16.53	53.81	6.36	8.05	9.32	10.59	9.32	2.54	2.97	1.69	4.82
"48"	"u16"	"MM31"	1996	35.84	8.21	"MM311996"	72.88	39.2	9.84	61.1	7.6	3.73	20.86	3.13	5.66	16.54	17.14	15.8	1.19	47.39	8.64	19.08	2.16
"49"	"u8"	"MH32"	1996	94.29	6.34	"MH321996"	36.47	15.78	10.74	38.06	22.15	5.57	18.44	4.91	18.57	25.2	19.76	21.35	11.54	7.16	5.17	4.11	4.87
"50"	"u22"	"IH21"	1996	79.28	7.09	"IH211996"	39.22	7.77	4.79	48.08	22.44	13.8	13.36	0.87	2.4	51.63	15.11	13.65	0.44	7.92	4.28	19.39	2.22
"51"	"u34"	"IM31"	1996	36.59	6.52	"IM311996"	79.87	42.47	5.71	49.13	7.13	5.07	31.54	2.38	2.54	19.18	19.81	22.35	0.32	41.52	3.8	29	1.36
"52"	"u18"	"MM33"	1996	38.67	4	"MM331996"	32.64	43.06	29.17	30.9	35.76	4.86	22.22	63.89	13.19	2.08	5.56	7.64	12.15	4.17	4.17	0.35	6.15
"53"	"u17"	"MM32"	1996	37.84	8.22	"MM321996"	48.51	35.45	9.89	45.71	19.4	3.92	20.9	12.69	26.87	11.38	15.49	20.15	5.41	17.54	7.09	8.4	3.12
"54"	"u36"	"IM33"	1996	28.18	3.64	"IM331996"	37.74	52.83	23.58	15.09	50	3.77	18.87	74.53	9.43	0.94	3.77	10.38	4.72	1.89	6.6	2.83	4.37
"55"	"u10"	"MM11"	1996	2.92	27.01	"MM111996"	59	30	9	85	3	2	6	5	6	20	24	15	3	44	10	65	1.86
"56"	"u30"	"IM13"	1996	2.93	15.12	"IM131996"	27.01	54.6	14.94	40.23	43.68	1.15	12.64	63.22	17.82	1.15	4.6	12.64	13.79	2.3	7.47	10.92	3.04
"57"	"u19"	"IH11"	1996	33.59	9.57	"IH111996"	39.74	7.78	2.16	67.82	12.1	10.58	8.42	0.65	1.94	50.97	18.14	15.33	0.43	5.83	7.78	47.08	1.54
"58"	"u9"	"MH33"	1996	94.64	0.89	"MH331996"	34.53	21.92	33.93	29.43	25.23	4.8	22.52	49.25	5.71	4.8	9.31	13.51	24.02	2.7	4.2	0.9	9.51
"59"	"u2"	"MH12"	1996	21.8	14.58	"MH121996"	28.48	10.37	6.88	77.79	6.36	6.18	6.88	3.48	18.73	43.21	25.7	27.18	6.62	7.32	7.32	18.82	2.65
"60"	"u13"	"MM21"	1996	20.06	14.35	"MM211996"	60.36	26.49	9.55	69.55	7.39	3.42	14.77	2.7	5.23	19.28	20	15.32	1.08	45.41	15.32	33.15	2.22
"61"	"u4"	"MH21"	1996	80.22	10.13	"MH211996"	38.72	9.38	8.56	56.52	13.72	12.23	13.32	0.82	5.3	52.99	20.24	21.33	2.04	8.97	9.24	21.2	2.91
"62"	"u33"	"IM23"	1996	13.99	2.56	"IM231996"	17.7	51.67	26.79	20.81	63.64	0.96	10.29	77.27	11.72	0.48	2.39	5.98	6.46	1.44	4.31	0.96	4.27
"63"	"u6"	"MH23"	1996	82.27	1.99	"MH231996"	24.75	13.17	34.88	45.3	24.31	3.33	15.48	50.8	13.46	5.93	13.75	14.62	19.54	1.59	5.93	1.3	7.35
"64"	"u25"	"IH31"	1996	91.71	4.6	"IH311996"	51.53	18.76	3.87	33.65	21.9	16.28	22.85	1.68	4.31	40.44	13.36	16.35	1.75	10.15	4.82	11.9	2.31
"65"	"u20"	"IH12"	1996	24.09	14.17	"IH121996"	37.34	7.8	3.67	66.97	13.03	6.42	10.92	3.49	11.65	49.27	22.02	22.39	3.85	8.17	6.61	31.01	1.93
"66"	"u11"	"MM12"	1996	6.1	20.11	"MM121996"	30.91	18.38	5.49	79.59	8.71	1.67	7.4	9.43	30.55	11.58	14.8	33.65	9.67	17.18	9.9	21.48	2.28
"67"	"u35"	"IM32"	1996	28.66	4.18	"IM321996"	59.81	41.12	7.79	34.58	20.25	4.05	28.35	11.53	19.94	14.64	17.13	24.61	2.18	19.63	3.12	14.64	2.21
"68"	"u23"	"IH22"	1996	79.81	4.06	"IH221996"	38.51	8.05	11.17	38.98	26.98	8.35	17.81	4.17	11.7	40.86	20.58	19.11	4.06	7	4.88	8.76	2.96
"69"	"u14"	"MM22"	1996	19.23	13.32	"MM221996"	37.76	24.19	9.26	56.86	18.81	3.3	14.29	9.91	29.22	14	17.95	21.54	6.25	19.31	9.69	13.28	3.07
"70"	"u26"	"IH32"	1996	93.89	3.32	"IH321996"	44.4	15.52	7.04	29.96	28.16	6.86	21.84	6.14	14.26	30.69	19.68	18.05	9.93	7.04	3.25	4.69	3.22
"71"	"u27"	"IH33"	1996	92.71	0	"IH331996"	31.25	18.75	29.17	26.04	36.46	3.13	19.79	52.08	8.33	5.21	10.42	9.38	10.42	4.17	1.04	2.08	5.59
"72"	"u28"	"IM11"	1996	7.2	23.11	"IM111996"	78.82	32.51	4.43	74.38	0.99	6.4	14.29	1.97	2.46	14.29	13.79	19.7	1.97	53.2	11.33	70.44	1.07
"73"	"u3"	"MH13"	1997	28.57	10.84	"MH131997"	22.1	27.9	11.05	67.4	17.13	4.7	8.01	29.01	39.78	7.73	9.67	22.93	23.48	2.49	8.56	3.87	3.7
"74"	"u8"	"MH32"	1997	91.71	4.59	"MH321997"	36.76	18.85	10.29	41.18	20.32	8.82	15.64	7.22	17.11	24.47	19.65	20.99	11.63	8.96	5.35	3.74	4.46
"75"	"u16"	"MM31"	1997	35.83	6.75	"MM311997"	70.39	44.09	9.92	62.05	8.03	4.41	19.69	3.31	5.04	14.8	15.12	16.54	1.26	48.03	7.56	17.8	2.08
"76"	"u12"	"MM13"	1997	8.09	16.37	"MM131997"	16.13	34.84	12.69	67.74	25.16	0.43	4.09	38.71	41.51	3.01	8.82	16.34	20	2.8	11.83	3.87	3.15
"77"	"u33"	"IM23"	1997	11.72	3.65	"IM231997"	21.89	46.76	25.68	21.89	58.92	1.08	12.7	74.86	9.19	2.43	3.24	7.3	8.92	2.7	4.86	3.51	4.04
"78"	"u27"	"IH33"	1997	93.59	1.28	"IH331997"	42.86	24.68	31.17	16.88	31.17	1.3	24.68	48.05	7.79	6.49	9.09	12.99	15.58	2.6	1.3	0	5.02
"79"	"u25"	"IH31"	1997	90.69	4.55	"IH311997"	53.03	18.14	4.26	37.72	17.56	15.75	21.89	0.79	4.55	41.4	15.17	17.63	1.37	11.49	3.61	12.86	1.97
"80"	"u32"	"IM22"	1997	16.18	11.3	"IM221997"	52.92	28.35	7.4	44.86	21.77	4.03	21.2	10.76	24.16	12.57	13.23	24.08	4.85	21.94	10.68	20.95	2.07
"81"	"u30"	"IM13"	1997	2.44	20.49	"IM131997"	20.25	49.08	9.2	49.08	39.88	1.23	7.36	52.76	28.83	1.84	3.68	14.11	11.66	6.13	6.13	13.5	2.57
"82"	"u17"	"MM32"	1997	38.25	9.7	"MM321997"	48.35	37.4	8.26	48.97	18.18	4.75	17.77	11.98	23.76	11.78	17.77	21.69	4.55	21.07	5.79	5.37	2.86
"83"	"u35"	"IM32"	1997	30.42	5.07	"IM321997"	56.97	32.05	7.42	30.56	21.96	6.23	27.3	13.65	16.32	13.95	15.73	29.38	3.26	16.91	3.56	8.31	2.02
"84"	"u7"	"MH31"	1997	88.58	5.71	"MH311997"	48.9	22.14	4.07	43.83	13.44	14.1	18.61	0.88	5.07	38.55	17.51	22.58	3.63	13.66	4.63	8.92	2.62
"85"	"u21"	"IH13"	1997	11.4	15.79	"IH131997"	28.13	23.96	11.46	56.25	29.17	0	10.42	32.29	26.04	12.5	11.46	16.67	17.71	2.08	6.25	7.29	2.26
"86"	"u9"	"MH33"	1997	91.58	1.05	"MH331997"	28.01	22.34	29.43	34.4	28.01	2.48	19.15	49.65	12.77	2.48	10.64	13.12	23.76	1.06	2.84	1.42	7.69
"87"	"u13"	"MM21"	1997	20.3	13.37	"MM211997"	60.35	31.64	11.13	71.68	6.45	2.93	15.04	3.13	3.32	15.43	19.53	17.77	1.37	43.95	11.52	34.96	2.15
"88"	"u1"	"MH11"	1997	25.52	8.39	"MH111997"	34.73	14.89	4.96	68.32	8.4	12.98	6.87	0.38	3.05	62.21	22.14	27.86	1.91	11.45	9.92	28.63	2.06
"89"	"u10"	"MM11"	1997	6.92	27.04	"MM111997"	56.9	26.72	2.59	81.03	4.31	4.31	8.62	1.72	0.86	22.41	24.14	22.41	0	42.24	10.34	67.24	1.68
"90"	"u26"	"IH32"	1997	94.91	3.74	"IH321997"	48.5	14.29	8.11	30.86	22.57	8.99	25.22	3.35	13.05	32.8	16.58	21.16	8.29	8.29	3.17	6.53	2.92
"91"	"u19"	"IH11"	1997	29.55	12.4	"IH111997"	39.39	9.2	2.36	67.92	13.68	10.61	7.08	0	1.65	59.67	18.87	14.15	0.47	8.49	6.37	44.34	1.53
"92"	"u4"	"MH21"	1997	77.28	6.79	"MH211997"	39.64	10.22	5.74	53.36	12.89	15.13	12.46	1.4	4.34	50.7	22.55	20.17	2.1	9.1	10.78	17.37	2.62
"93"	"u14"	"MM22"	1997	18.08	12.3	"MM221997"	38.51	26.84	10.02	58.63	18.83	3.01	12.88	9.59	32.71	12.88	19.76	19.47	7.52	18.75	8.16	14.75	2.84
"94"	"u31"	"IM21"	1997	19.48	12.77	"IM211997"	72.33	34.12	6.82	65.14	7.94	3.6	17.49	2.61	3.47	15.63	17.12	19.23	0.74	45.66	8.81	46.77	1.32
"95"	"u36"	"IM33"	1997	33.93	3.57	"IM331997"	28.7	51.85	23.15	19.44	49.07	0.93	20.37	75	7.41	2.78	3.7	9.26	4.63	0.93	2.78	0.93	4.36
"96"	"u6"	"MH23"	1997	79.43	3.25	"MH231997"	28.25	9.93	32.45	42.24	24.62	2.8	17.48	50.07	13.15	6.57	13.43	12.73	20.84	1.82	4.48	2.1	7.19
"97"	"u11"	"MM12"	1997	5.02	21.85	"MM121997"	29.6	20.15	3.78	83.25	7.3	1.89	4.66	7.81	32.87	12.34	19.14	29.97	12.22	15.62	9.95	24.94	2.2
"98"	"u34"	"IM31"	1997	37.26	5.4	"IM311997"	80.23	41.43	5.12	50.51	6.88	5.27	29.87	3.07	2.93	16.54	16.84	23.28	0.88	40.56	5.12	28.84	1.23
"99"	"u15"	"MM23"	1997	21.73	4.18	"MM231997"	23.01	34.57	29.66	40.02	38.28	1.53	16.36	62.7	20.94	2.62	6.54	6.54	15.59	1.74	9.49	1.74	5.24
"100"	"u5"	"MH22"	1997	74.96	5.08	"MH221997"	33.58	9.45	11.81	53.86	15.61	8.18	13.42	4.61	16.13	36.35	23.16	19.12	8.29	9.27	5.36	7.95	3.57
"101"	"u2"	"MH12"	1997	23.82	13.7	"MH121997"	23.77	10.06	5.32	74.65	9.39	5.9	6.48	4.32	17.79	43.06	22.36	27.93	4.9	8.73	6.98	17.12	2.45
"102"	"u20"	"IH12"	1997	21.39	12.71	"IH121997"	36.18	8.47	5.67	68.17	12.91	6.58	10.03	3.87	9.87	47.2	21.13	23.27	2.88	8.55	7.15	31.41	1.8
