"." 	"history" 	"Freq" 	"Rcuad" 	"psF" 	"psT"
"1" 	-68 	-107 	2 	0.999994409890051 	499.682564417991 	NA
"2" 	-300 	-330 	2 	0.999968545968372 	178.103231712758 	NA
"3" 	-267 	-312 	2 	0.999952893414182 	178.883041090822 	NA
"4" 	-256 	-304 	2 	0.999908332977566 	122.907589520535 	NA
"5" 	-274 	-324 	2 	0.999382134400099 	22.8456914777469 	NA
"6" 	-234 	-288 	2 	0.999069739578409 	18.254410219777 	NA
"7" 	-13 	-136 	2 	0.99897605997294 	19.4015280852753 	NA
"8" 	-254 	-308 	2 	0.998931735582025 	21.3127709787625 	NA
"9" 	-101 	-154 	2 	0.998895576648056 	23.257282826781 	NA
"10" 	1 	-100 	3 	0.998671092766137 	21.532893213766 	40.1573285638374
"11" 	-178 	-203 	2 	0.998646533869996 	23.3226474805396 	NA
"12" 	-246 	-341 	2 	0.997217029399109 	12.3917555922288 	NA
"13" 	-235 	-356 	2 	0.997201922763999 	13.3903109548358 	NA
"14" 	-122 	-176 	2 	0.99718881009199 	14.3944856795315 	NA
"15" 	-5 	-126 	2 	0.997154909495205 	15.2826744564098 	NA
"16" 	-66 	-97 	2 	0.997119848304161 	16.1494546583733 	NA
"17" 	-20 	-210 	2 	0.996815161628039 	15.5578669536587 	NA
"18" 	-189 	-197 	2 	0.996646961242543 	15.6899261568228 	NA
"19" 	-25 	-112 	2 	0.996056826737986 	14.1160419394849 	NA
"20" 	-43 	-94 	2 	0.996047224901648 	14.866479021611 	NA
"21" 	-70 	-90 	2 	0.99600758672069 	15.4999304530234 	NA
"22" 	-18 	-39 	2 	0.995989587438966 	16.2128186993387 	NA
"23" 	-260 	-342 	2 	0.994841019845781 	13.2001353837054 	NA
"24" 	-96 	-209 	2 	0.994813112802926 	13.7404555850454 	NA
"25" 	-4 	-51 	2 	0.99451943586925 	13.5825575176587 	NA
"26" 	-59 	9 	3 	0.994487858960548 	14.086667983252 	0.87328096369223
"27" 	-118 	-200 	2 	0.99444303990971 	14.55352898665 	NA
