id;gen;plan;cred1;cred1y2;cred1.2y3;cred1234;nac_lug;otros_univ;ocup_rel;sit_labNT;horas;sexto;edad;edad_t;Xfem;Xhijos;Xocup;XeduP;XeduM;XocuP;XocuM;tratamiento;inst;EDA;MC.EDA;carr04;carr11;carr12;carr14;fecing4;fecing11;fecing12;fecing14;fecingEDA;julio;EDAoMCEDA;Xnac_lug;Xhoras;XeduM_num;XeduP_num;Xedu_H;Xsexto;cred1_prop;cred1_2012;cred1y2_prop;cred1y2_2012;cred1.2y3_prop;cred1.2y3_2012;cred1234_prop;cred1234_2012
161;2012;3. Plan 12   ;0;0;0;0;Montevideo;Si posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;1;0;0;2;2;Asalariado;Asalariado;1;52;0;0;0;0;1;0;NA;NA;5/3/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0;0;0;0;0;0;0;0
169;2013;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;21;t20.22;0;0;0;3;2;Asalariado;No trabaja;1;666;0;0;0;0;1;0;NA;NA;4/3/2013;NA;NA;0;0;Montevideo;No trabaja;2;3;3;Montevideo Privada;0;0;0;0;0;0;0;0
171;2012;3. Plan 12   ;50;80;100;130;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;0;0;0;NA;2;Asalariado;Asalariado;1;52;0;0;0;1;1;0;NA;16/2/2012;16/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;NA;2;Montevideo Privada;0.555555555555556;50;0.444444444444444;80;0.37037037037037;100;0.361111111111111;130
172;2012;3. Plan 12   ;90;180;230;330;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;UTU Montevideo;19;t17.19;1;0;0;2;1;Asalariado;Asalariado;1;194;0;0;0;1;1;0;NA;7/3/2012;7/3/2012;NA;NA;0;0;Montevideo;No trabaja;1;2;2;Montevideo Publica;1;90;1;180;0.851851851851852;230;0.916666666666667;330
173;2012;3. Plan 12   ;0;0;20;30;Montevideo;No posee;Está poco relacionada;No corresponde;Trabaja de 21 a 30 hrs semanales;Montevideo Publica;21;t20.22;1;0;1;2;1;Asalariado;Asalariado;1;194;0;0;0;1;1;0;NA;14/2/2012;14/2/2012;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;1;2;2;Montevideo Publica;0;0;0;0;0.0740740740740741;20;0.0833333333333333;30
174;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;NA;No corresponde;Trabaja de 21 a 30 hrs semanales;Montevideo Privada;20;t20.22;1;0;1;2;2;Sin dato;Sin dato;1;57;0;0;0;1;1;0;NA;7/3/2012;7/3/2012;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;2;2;2;Montevideo Privada;0;0;0;0;0;0;0;0
175;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;0;0;0;1;1;Asalariado;Asalariado;1;356;0;0;0;0;1;0;NA;NA;15/2/2012;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Montevideo Privada;0;0;0;0;0;0;0;0
176;2013;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No está relacionada;No corresponde;Trabaja menos de 10 hrs semanales;Montevideo Privada;20;t20.22;0;0;1;2;3;Dirección;Dirección;1;26;0;0;0;0;1;0;NA;NA;13/2/2013;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;3;2;3;Montevideo Privada;0;0;0;0;0;0;0;0
177;2012;3. Plan 12   ;70;130;200;290;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;1;0;0;1;2;Asalariado;No trabaja;1;15;0;0;0;1;1;0;NA;6/2/2012;6/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;1;2;Montevideo Privada;0.777777777777778;70;0.722222222222222;130;0.740740740740741;200;0.805555555555556;290
179;2013;3. Plan 12   ;20;40;50;90;Montevideo;No posee;Está parcialmente relacionada;No corresponde;Trabaja de 31 a 40 hrs semanales;Montevideo Privada;21;t20.22;0;0;1;2;1;Asalariado;Asalariado;1;11;0;0;0;1;1;0;NA;15/2/2013;15/2/2013;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;1;2;2;Montevideo Privada;0.222222222222222;20;0.222222222222222;40;0.185185185185185;50;0.25;90
