id;gen;plan;cred1;cred1y2;cred1.2y3;cred1234;nac_lug;otros_univ;ocup_rel;sit_labNT;horas;sexto;edad;edad_t;Xfem;Xhijos;Xocup;XeduP;XeduM;XocuP;XocuM;tratamiento;inst;EDA;MC.EDA;carr04;carr11;carr12;carr14;fecing4;fecing11;fecing12;fecing14;fecingEDA;julio;EDAoMCEDA;Xnac_lug;Xhoras;XeduM_num;XeduP_num;Xedu_H;Xsexto;cred1_prop;cred1_2012;cred1y2_prop;cred1y2_2012;cred1.2y3_prop;cred1.2y3_2012;cred1234_prop;cred1234_2012
281;2012;3. Plan 12   ;90;140;210;285;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;1;2;Asalariado;Asalariado;1;204;0;0;0;1;1;0;NA;7/2/2012;7/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;1;2;Montevideo Privada;1;90;0.777777777777778;140;0.777777777777778;210;0.791666666666667;285
282;2013;3. Plan 12   ;70;130;190;250;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;0;0;0;1;3;Asalariado;Asalariado;1;201;0;0;0;0;1;0;NA;NA;6/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;1;3;Montevideo Privada;0.777777777777778;70;0.722222222222222;130;0.703703703703704;190;0.694444444444444;250
283;2013;3. Plan 12   ;70;130;170;170;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;18;t17.19;1;0;0;2;2;Asalariado;Asalariado;1;200;0;0;0;1;1;0;NA;4/2/2013;4/2/2013;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.777777777777778;70;0.722222222222222;130;0.62962962962963;170;0.472222222222222;170
284;2013;3. Plan 12   ;80;170;270;340;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;3;2;Asalariado;Asalariado;1;15;0;0;0;1;1;0;NA;6/2/2013;6/2/2013;NA;NA;0;0;Montevideo;No trabaja;2;3;3;Montevideo Privada;0.888888888888889;80;0.944444444444444;170;1;270;0.944444444444444;340
285;2013;3. Plan 12   ;10;30;50;50;Colonia;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Privada;19;t17.19;1;0;0;NA;NA;Sin dato;No trabaja;1;144;0;0;0;0;1;1;NA;NA;6/2/2013;6/2/2013;NA;0;0;Interior;No trabaja;NA;NA;NA;Interior Privada;0.111111111111111;10;0.166666666666667;30;0.185185185185185;50;0.138888888888889;50
288;2012;3. Plan 12   ;30;40;40;40;Colonia;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;UTU Interior;18;t17.19;1;0;0;1;2;Asalariado;Asalariado;1;193;0;0;0;1;1;0;NA;16/2/2012;16/2/2012;NA;NA;0;0;Interior;No trabaja;2;1;2;Interior Publica;0.333333333333333;30;0.222222222222222;40;0.148148148148148;40;0.111111111111111;40
289;2013;3. Plan 12   ;20;50;80;80;Artigas;Si posee;Está relacionada;No corresponde;Trabaja más de 40 hrs semanales;Interior Publica;29;t27.30;1;0;1;1;1;Cuenta propia;Cuenta propia;1;160;0;0;0;1;1;1;NA;22/2/2013;22/2/2013;22/2/2013;NA;0;0;Interior;Trabaja mas de 30 horas;1;1;1;Interior Publica;0.222222222222222;20;0.277777777777778;50;0.296296296296296;80;0.222222222222222;80
290;2012;3. Plan 12   ;90;120;140;150;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;21;t20.22;0;0;0;2;2;Asalariado;Asalariado;1;204;0;0;0;1;1;0;NA;8/2/2012;8/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;1;90;0.666666666666667;120;0.518518518518518;140;0.416666666666667;150
291;2012;3. Plan 12   ;90;140;210;240;Paysandú;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;1;1;Cuenta propia;Asalariado;1;144;0;0;0;1;1;0;NA;10/2/2012;10/2/2012;NA;NA;0;0;Interior;No trabaja;1;1;1;Interior Publica;1;90;0.777777777777778;140;0.777777777777778;210;0.666666666666667;240
294;2013;3. Plan 12   ;50;70;90;110;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;3;2;Sin dato;Sin dato;1;53;0;0;0;0;1;0;NA;NA;18/2/2013;NA;NA;0;0;Montevideo;No trabaja;2;3;3;Montevideo Privada;0.555555555555556;50;0.388888888888889;70;0.333333333333333;90;0.305555555555556;110
296;2012;3. Plan 12   ;90;170;260;340;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;1;1;Dirección;Asalariado;1;309;0;0;0;0;1;0;NA;NA;6/2/2012;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Montevideo Privada;1;90;0.944444444444444;170;0.962962962962963;260;0.944444444444444;340
297;2012;3. Plan 12   ;10;10;10;10;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Interior Publica;18;t17.19;1;0;0;1;1;Asalariado;No trabaja;1;124;1;1;0;0;1;0;NA;NA;6/3/2012;NA;1/2/2014;0;1;Montevideo;No trabaja;1;1;1;Interior Publica;0.111111111111111;10;0.0555555555555556;10;0.037037037037037;10;0.0277777777777778;10
298;2012;3. Plan 12   ;80;130;190;240;Montevideo;No posee;No está relacionada;No corresponde;Trabaja menos de 10 hrs semanales;Montevideo Privada;18;t17.19;0;0;1;1;3;Cuenta propia;Asalariado;1;15;0;0;0;1;1;0;NA;5/3/2012;5/3/2012;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;3;1;3;Montevideo Privada;0.888888888888889;80;0.722222222222222;130;0.703703703703704;190;0.666666666666667;240
299;2012;3. Plan 12   ;30;60;60;130;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;17;t17.19;0;0;0;2;2;Cuenta propia;Asalariado;1;204;0;0;0;0;1;0;NA;NA;15/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.333333333333333;30;0.333333333333333;60;0.222222222222222;60;0.361111111111111;130
300;2013;3. Plan 12   ;10;10;10;10;Paysandú;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;1;1;Cuenta propia;No trabaja;1;144;0;0;0;1;1;0;NA;19/2/2013;19/2/2013;NA;NA;0;0;Interior;No trabaja;1;1;1;Interior Publica;0.111111111111111;10;0.0555555555555556;10;0.037037037037037;10;0.0277777777777778;10
301;2013;3. Plan 12   ;10;10;10;10;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;1;0;0;2;1;Asalariado;Asalariado;1;15;0;0;0;1;1;0;NA;15/2/2013;15/2/2013;NA;NA;0;0;Montevideo;No trabaja;1;2;2;Montevideo Privada;0.111111111111111;10;0.0555555555555556;10;0.037037037037037;10;0.0277777777777778;10
302;2012;3. Plan 12   ;70;130;160;210;Colonia;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;3;2;Asalariado;Sin dato;1;122;0;0;0;1;1;0;NA;8/2/2012;8/2/2012;NA;NA;0;0;Interior;No trabaja;2;3;3;Interior Publica;0.777777777777778;70;0.722222222222222;130;0.592592592592593;160;0.583333333333333;210
303;2012;3. Plan 12   ;60;90;100;100;Montevideo;Si posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;18;t17.19;1;0;0;2;3;Cuenta propia;Sin dato;1;49;0;0;0;1;1;0;NA;8/12/2016;6/2/2012;NA;NA;0;0;Montevideo;No trabaja;3;2;3;Montevideo Privada;0.666666666666667;60;0.5;90;0.37037037037037;100;0.277777777777778;100
304;2012;3. Plan 12   ;50;80;80;80;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;2;2;Asalariado;Asalariado;1;15;0;0;0;0;1;0;NA;NA;17/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.555555555555556;50;0.444444444444444;80;0.296296296296296;80;0.222222222222222;80
305;2013;3. Plan 12   ;50;100;160;170;Montevideo;No posee;No está relacionada;No corresponde;Trabaja menos de 10 hrs semanales;Montevideo Publica;27;t27.30;0;0;1;2;2;Asalariado;Asalariado;1;83;0;0;0;1;1;1;NA;6/3/2013;6/3/2013;6/3/2013;NA;0;0;Montevideo;Trabaja menos de 30 horas;2;2;2;Montevideo Publica;0.555555555555556;50;0.555555555555556;100;0.592592592592593;160;0.472222222222222;170
307;2012;3. Plan 12   ;30;40;40;40;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;18;t17.19;0;0;0;3;2;Asalariado;Asalariado;1;14;0;0;0;0;1;0;NA;NA;17/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;3;3;Montevideo Privada;0.333333333333333;30;0.222222222222222;40;0.148148148148148;40;0.111111111111111;40
308;2013;3. Plan 12   ;90;170;230;255;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;1;3;Asalariado;Asalariado;1;21;0;0;0;1;1;0;NA;14/2/2013;14/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;1;3;Montevideo Privada;1;90;0.944444444444444;170;0.851851851851852;230;0.708333333333333;255
309;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;1;2;Asalariado;Asalariado;1;354;0;0;0;1;1;0;NA;15/2/2012;15/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;1;2;Montevideo Privada;0;0;0;0;0;0;0;0
310;2013;3. Plan 12   ;90;180;230;260;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;3;3;Dirección;Asalariado;1;52;0;0;0;0;1;0;NA;NA;5/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;1;90;1;180;0.851851851851852;230;0.722222222222222;260
311;2013;3. Plan 12   ;60;150;180;250;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;3;2;Asalariado;Asalariado;1;43;0;0;0;0;1;0;NA;NA;21/2/2013;NA;NA;0;0;Montevideo;No trabaja;2;3;3;Montevideo Privada;0.666666666666667;60;0.833333333333333;150;0.666666666666667;180;0.694444444444444;250
312;2012;3. Plan 12   ;10;10;10;10;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Publica;18;t17.19;1;0;0;1;1;Asalariado;Asalariado;1;62;0;0;0;0;1;0;NA;NA;5/3/2012;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Montevideo Publica;0.111111111111111;10;0.0555555555555556;10;0.037037037037037;10;0.0277777777777778;10
313;2012;3. Plan 12   ;0;0;0;0;Montevideo;Si posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;19;t17.19;0;0;0;3;3;Cuenta propia;Dirección;1;176;0;0;0;0;1;0;NA;NA;16/2/2012;NA;NA;0;0;Montevideo;No trabaja;3;3;3;Interior Publica;0;0;0;0;0;0;0;0
314;2012;3. Plan 12   ;0;0;0;0;Rivera;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;1;1;Asalariado;Asalariado;1;152;1;1;0;0;1;0;NA;NA;15/2/2012;NA;26/7/2012;0;1;Interior;No trabaja;1;1;1;Interior Publica;0;0;0;0;0;0;0;0
315;2013;3. Plan 12   ;20;20;20;20;Montevideo;No posee;No está relacionada;No corresponde;Trabaja de 10 a 20 hrs semanales;Montevideo Publica;24;t23.26;0;0;1;2;1;Asalariado;Asalariado;1;62;0;0;0;0;1;0;NA;NA;22/2/2013;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;1;2;2;Montevideo Publica;0.222222222222222;20;0.111111111111111;20;0.0740740740740741;20;0.0555555555555556;20
316;2012;3. Plan 12   ;70;130;180;190;Durazno;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Interior Publica;18;t17.19;0;0;0;1;2;Cuenta propia;Asalariado;1;108;0;0;0;1;1;1;NA;9/7/2015;16/2/2012;16/2/2012;NA;0;0;Interior;No trabaja;2;1;2;Interior Publica;0.777777777777778;70;0.722222222222222;130;0.666666666666667;180;0.527777777777778;190
317;2012;3. Plan 12   ;60;110;150;230;Cerro Largo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;0;0;0;1;2;Cuenta propia;Asalariado;1;99;0;0;0;1;1;0;NA;6/3/2012;6/3/2012;NA;NA;0;0;Interior;No trabaja;2;1;2;Interior Publica;0.666666666666667;60;0.611111111111111;110;0.555555555555556;150;0.638888888888889;230
318;2013;3. Plan 12   ;20;70;100;110;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;19;t17.19;0;0;0;2;2;Cuenta propia;Asalariado;1;199;0;0;0;1;1;0;NA;18/2/2013;18/2/2013;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.222222222222222;20;0.388888888888889;70;0.37037037037037;100;0.305555555555556;110
319;2013;3. Plan 12   ;90;160;215;300;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;3;3;Asalariado;Asalariado;1;53;0;0;0;1;1;0;NA;7/2/2013;7/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;1;90;0.888888888888889;160;0.796296296296296;215;0.833333333333333;300
320;2012;3. Plan 12   ;90;150;200;260;Durazno;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;3;2;Dirección;Cuenta propia;1;108;0;0;0;0;1;0;NA;NA;7/2/2012;NA;NA;0;0;Interior;No trabaja;2;3;3;Interior Publica;1;90;0.833333333333333;150;0.740740740740741;200;0.722222222222222;260
321;2013;3. Plan 12   ;80;145;175;175;Treinta y Tres;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;0;0;0;1;2;Asalariado;Asalariado;1;188;0;0;0;1;1;1;NA;14/2/2013;14/2/2013;14/2/2013;NA;0;0;Interior;No trabaja;2;1;2;Interior Publica;0.888888888888889;80;0.805555555555556;145;0.648148148148148;175;0.486111111111111;175
322;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Publica;18;t17.19;1;0;0;1;1;Dirección;Asalariado;1;68;0;0;0;0;1;0;NA;NA;7/2/2012;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Montevideo Publica;0;0;0;0;0;0;0;0
323;2012;3. Plan 12   ;90;170;245;320;Montevideo;Si posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Publica;19;t17.19;0;0;0;2;2;Asalariado;Asalariado;1;666;0;0;0;1;1;0;NA;14/2/2012;14/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Publica;1;90;0.944444444444444;170;0.907407407407407;245;0.888888888888889;320
324;2012;3. Plan 12   ;50;105;150;170;Montevideo;No posee;No está relacionada;No corresponde;Trabaja de 31 a 40 hrs semanales;Interior Privada;18;t17.19;0;0;1;1;2;Cuenta propia;Asalariado;1;377;0;0;0;0;1;1;NA;NA;7/3/2012;7/3/2012;NA;0;0;Montevideo;Trabaja mas de 30 horas;2;1;2;Interior Privada;0.555555555555556;50;0.583333333333333;105;0.555555555555556;150;0.472222222222222;170
325;2013;3. Plan 12   ;70;170;230;270;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;19;t17.19;0;0;0;3;3;Sin dato;Sin dato;1;26;0;0;0;1;1;0;NA;13/2/2013;13/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;0.777777777777778;70;0.944444444444444;170;0.851851851851852;230;0.75;270
326;2012;3. Plan 12   ;30;50;70;85;Canelones;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;UTU Interior;20;t20.22;0;0;0;1;1;Asalariado;No trabaja;1;141;0;0;0;1;1;0;NA;5/3/2012;5/3/2012;NA;NA;0;0;Interior;No trabaja;1;1;1;Interior Publica;0.333333333333333;30;0.277777777777778;50;0.259259259259259;70;0.236111111111111;85
327;2013;3. Plan 12   ;80;130;200;260;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;3;3;Asalariado;Asalariado;1;15;0;0;0;1;1;0;NA;18/2/2013;18/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;0.888888888888889;80;0.722222222222222;130;0.740740740740741;200;0.722222222222222;260
330;2013;3. Plan 12   ;20;50;70;100;Canelones;No posee;No está relacionada;No corresponde;Trabaja de 31 a 40 hrs semanales;Montevideo Publica;19;t17.19;1;0;1;1;1;Asalariado;No trabaja;1;83;0;0;0;0;1;0;NA;NA;15/2/2013;NA;NA;0;0;Interior;Trabaja mas de 30 horas;1;1;1;Montevideo Publica;0.222222222222222;20;0.277777777777778;50;0.259259259259259;70;0.277777777777778;100
331;2012;3. Plan 12   ;90;150;160;180;Paysandú;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;3;1;Asalariado;No trabaja;1;395;0;0;0;1;1;1;NA;10/2/2012;10/2/2012;10/2/2012;NA;0;0;Interior;No trabaja;1;3;3;Interior Publica;1;90;0.833333333333333;150;0.592592592592593;160;0.5;180
332;2013;3. Plan 12   ;90;150;240;300;San José;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;1;1;Asalariado;Asalariado;1;168;0;0;0;0;1;0;NA;NA;4/3/2013;NA;NA;0;0;Interior;No trabaja;1;1;1;Interior Publica;1;90;0.833333333333333;150;0.888888888888889;240;0.833333333333333;300
333;2013;3. Plan 12   ;60;100;130;180;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;3;3;Dirección;Asalariado;1;52;0;0;0;0;1;0;NA;NA;7/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;0.666666666666667;60;0.555555555555556;100;0.481481481481481;130;0.5;180
334;2013;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Privada;19;t17.19;0;0;0;2;3;Asalariado;Dirección;1;314;0;0;0;0;1;0;NA;NA;8/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;2;3;Interior Privada;0;0;0;0;0;0;0;0
335;2013;3. Plan 12   ;110;220;290;355;Maldonado;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Privada;18;t17.19;1;0;0;3;3;Asalariado;Asalariado;1;34;0;0;0;1;1;1;NA;5/2/2013;5/2/2013;5/2/2013;NA;0;0;Interior;No trabaja;3;3;3;Interior Privada;122.222.222.222.222;110;122.222.222.222.222;220;107.407.407.407.407;290;0.986111111111111;355
337;2013;3. Plan 12   ;30;30;30;70;Montevideo;No posee;No corresponde;Trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;3;3;Asalariado;Asalariado;1;52;0;0;0;1;1;1;NA;5/2/2013;5/2/2013;5/2/2013;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;0.333333333333333;30;0.166666666666667;30;0.111111111111111;30;0.194444444444444;70
338;2012;3. Plan 12   ;20;30;70;80;Rivera;No posee;No está relacionada;No corresponde;Trabaja menos de 10 hrs semanales;Interior Publica;19;t17.19;0;0;1;1;2;Cuenta propia;Dirección;1;152;0;0;0;1;1;1;NA;16/2/2012;16/2/2012;16/2/2012;NA;0;0;Interior;Trabaja menos de 30 horas;2;1;2;Interior Publica;0.222222222222222;20;0.166666666666667;30;0.259259259259259;70;0.222222222222222;80
339;2013;3. Plan 12   ;90;130;130;130;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;3;3;Asalariado;Dirección;1;48;1;0;0;0;1;1;NA;NA;20/2/2013;20/2/2013;22/12/2014;0;1;Montevideo;No trabaja;3;3;3;Montevideo Privada;1;90;0.722222222222222;130;0.481481481481481;130;0.361111111111111;130
340;2013;3. Plan 12   ;80;140;200;250;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;2;3;Asalariado;Asalariado;1;12;0;0;0;0;1;0;NA;NA;19/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;2;3;Montevideo Privada;0.888888888888889;80;0.777777777777778;140;0.740740740740741;200;0.694444444444444;250
342;2012;3. Plan 12   ;40;60;80;90;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;1;2;Cuenta propia;Asalariado;1;43;0;0;0;1;1;1;NA;5/3/2012;5/3/2012;5/3/2012;NA;0;0;Montevideo;No trabaja;2;1;2;Montevideo Privada;0.444444444444444;40;0.333333333333333;60;0.296296296296296;80;0.25;90
345;2013;3. Plan 12   ;70;130;210;270;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Publica;18;t17.19;0;0;0;1;3;Asalariado;Asalariado;1;221;0;0;0;0;1;0;NA;NA;19/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;1;3;Montevideo Publica;0.777777777777778;70;0.722222222222222;130;0.777777777777778;210;0.75;270
346;2012;3. Plan 12   ;110;180;270;350;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;3;2;Asalariado;Asalariado;1;22;0;0;0;0;1;1;NA;NA;7/2/2012;7/2/2012;NA;0;0;Montevideo;No trabaja;2;3;3;Montevideo Privada;122.222.222.222.222;110;1;180;1;270;0.972222222222222;350
347;2012;3. Plan 12   ;30;70;80;110;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;2;2;Dirección;Asalariado;1;18;0;0;0;1;1;0;NA;7/2/2012;7/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.333333333333333;30;0.388888888888889;70;0.296296296296296;80;0.305555555555556;110
348;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;2;2;Asalariado;Cuenta propia;1;204;0;0;0;0;1;0;NA;NA;7/3/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0;0;0;0;0;0;0;0
350;2012;3. Plan 12   ;80;120;180;180;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;18;t17.19;0;0;0;2;2;Cuenta propia;Cuenta propia;1;26;0;0;0;1;1;0;NA;9/2/2012;9/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.888888888888889;80;0.666666666666667;120;0.666666666666667;180;0.5;180
352;2012;3. Plan 12   ;90;160;220;320;Canelones;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;0;0;0;2;2;Cuenta propia;Asalariado;1;214;0;0;0;1;1;0;NA;10/2/2012;10/2/2012;NA;NA;0;0;Interior;No trabaja;2;2;2;Interior Publica;1;90;0.888888888888889;160;0.814814814814815;220;0.888888888888889;320
353;2013;3. Plan 12   ;40;80;150;240;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;3;3;Dirección;Asalariado;1;326;0;0;0;1;1;1;NA;18/2/2013;18/2/2013;18/2/2013;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;0.444444444444444;40;0.444444444444444;80;0.555555555555556;150;0.666666666666667;240
354;2013;3. Plan 12   ;60;90;130;180;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;18;t17.19;1;0;0;2;2;Cuenta propia;Asalariado;1;46;0;0;0;0;1;0;NA;NA;4/3/2013;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Privada;0.666666666666667;60;0.5;90;0.481481481481481;130;0.5;180
355;2012;3. Plan 12   ;0;10;20;20;Montevideo;No posee;Está bastante relacionada;No corresponde;Trabaja menos de 10 hrs semanales;Montevideo Publica;23;t23.26;0;0;1;3;3;No trabaja;No trabaja;1;63;1;0;0;0;1;0;NA;NA;7/3/2012;NA;10/2/2012;0;1;Montevideo;Trabaja menos de 30 horas;3;3;3;Montevideo Publica;0;0;0.0555555555555556;10;0.0740740740740741;20;0.0555555555555556;20
357;2012;3. Plan 12   ;90;160;210;270;San José;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;1;2;Asalariado;Asalariado;1;168;0;0;0;1;1;0;NA;8/2/2012;8/2/2012;NA;NA;0;0;Interior;No trabaja;2;1;2;Interior Publica;1;90;0.888888888888889;160;0.777777777777778;210;0.75;270
358;2013;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Privada;18;t17.19;0;0;0;3;2;Dirección;No trabaja;1;5;0;0;0;0;1;0;NA;NA;18/2/2013;NA;NA;0;0;Montevideo;No trabaja;2;3;3;Interior Privada;0;0;0;0;0;0;0;0
359;2013;3. Plan 12   ;50;70;90;120;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Interior Publica;18;t17.19;0;0;0;2;2;Asalariado;Asalariado;1;357;0;0;0;1;1;0;NA;15/2/2013;15/2/2013;NA;NA;0;0;Montevideo;No trabaja;2;2;2;Interior Publica;0.555555555555556;50;0.388888888888889;70;0.333333333333333;90;0.333333333333333;120
360;2012;3. Plan 12   ;0;10;30;30;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;UTU Montevideo;19;t17.19;0;0;0;1;1;Asalariado;Asalariado;1;194;0;0;0;1;1;0;NA;14/2/2012;14/2/2012;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Montevideo Publica;0;0;0.0555555555555556;10;0.111111111111111;30;0.0833333333333333;30
361;2013;3. Plan 12   ;90;120;180;250;Soriano;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;3;3;Asalariado;Asalariado;1;204;0;0;0;1;1;0;NA;4/3/2013;4/3/2013;NA;NA;0;0;Interior;No trabaja;3;3;3;Montevideo Privada;1;90;0.666666666666667;120;0.666666666666667;180;0.694444444444444;250
363;2012;3. Plan 12   ;80;120;170;240;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;0;0;0;1;2;Asalariado;Asalariado;1;15;0;0;0;1;1;1;NA;7/2/2012;7/2/2012;26/11/2014;NA;0;0;Montevideo;No trabaja;2;1;2;Montevideo Privada;0.888888888888889;80;0.666666666666667;120;0.62962962962963;170;0.666666666666667;240
364;2013;3. Plan 12   ;0;0;0;0;Tacuarembó;Si posee;No corresponde;Trabajó y busca trabajo;No corresponde;Interior Privada;23;t23.26;0;0;0;2;2;Dirección;Dirección;1;184;0;0;0;0;1;0;NA;NA;6/3/2013;NA;NA;0;0;Interior;No trabaja;2;2;2;Interior Privada;0;0;0;0;0;0;0;0
